entry,subentry,event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem
0,0,761250,11,0.99344313,1.6571922,1,2,20.39941,55.98922,0.95339906
0,1,761250,-11,-2.2171717,-1.6789824,2,2,20.39941,55.98922,0.9895103
1,0,761249,11,-1.9257681,1.8908287,1,2,49.638153,166.76776,0.08692091
1,1,761249,-11,1.1932504,-1.8734323,2,2,49.638153,166.76776,0.71722364
2,0,761241,11,0.27527124,2.4004583,1,2,42.98583,241.90637,0.59951544
2,1,761241,-11,-2.8814416,-2.4254,2,2,42.98583,241.90637,0.47694102
3,0,761246,11,-2.0396547,1.8699056,1,2,24.475367,83.46441,0.5251135
3,1,761246,-11,1.0568843,-1.9265171,2,2,24.475367,83.46441,0.98639995
4,0,761248,11,-0.21107197,1.7207435,1,2,66.05545,188.53397,0.09872813
4,1,761248,-11,2.9101214,-1.6988814,2,2,66.05545,188.53397,0.050618954
5,0,761247,11,2.4516904,2.6752536,1,2,7.011707,51.64523,0.4091031
5,1,761247,-11,-0.76015323,-2.695914,2,2,7.011707,51.64523,0.74995154
6,0,761243,11,-1.476259,1.6740689,1,2,96.95578,269.3549,0.014220427
6,1,761243,-11,1.6510257,-1.6876674,2,2,96.95578,269.3549,0.15949728
7,0,761242,11,-2.4419365,1.997265,1,2,26.089882,95.86952,0.029039243
7,1,761242,-11,0.66062933,-1.954442,2,2,26.089882,95.86952,0.26417887
8,0,761253,11,1.7727776,2.454404,1,2,19.84897,116.71737,0.9807902
8,1,761253,-11,-1.4001669,-2.460566,2,2,19.84897,116.71737,0.6177764
9,1,761244,-11,-3.0186353,-2.0710213,2,2,88.152275,359.60184,0.18091534
10,0,761257,11,-1.3186069,2.2177184,1,2,60.89962,277.68665,0.83603245
10,1,761257,-11,1.8096801,-2.1790307,2,2,60.89962,277.68665,0.4816608
11,0,761256,11,-2.6709483,2.1144571,1,2,72.27707,301.46127,0.40766764
11,1,761256,-11,0.45835656,-2.0988042,2,2,72.27707,301.46127,0.35783315
12,0,761245,11,0.6971468,2.5945997,1,2,94.77584,648.45624,0.3001697
12,1,761245,-11,-2.450093,-2.627367,2,2,94.77584,648.45624,0.1310706
13,0,761252,11,2.1844652,2.4817238,1,2,92.76481,556.42725,0.08789957
13,1,761252,-11,-0.9637203,-2.4734855,2,2,92.76481,556.42725,0.6759892
14,1,761260,-11,-1.7137679,-2.511597,2,2,15.119977,93.61066,0.34650692
15,0,761259,11,1.4496566,2.6745813,1,2,24.812628,178.95805,0.15524389
15,1,761259,-11,-1.7122267,-2.653774,2,2,24.812628,178.95805,0.16575474
16,0,761251,11,-0.019362839,2.7218735,1,2,79.69169,611.9965,0.7539947
16,1,761251,-11,3.1162877,-2.7330458,2,2,79.69169,611.9965,0.9746265
17,0,761254,11,-3.0037417,2.5905962,1,2,86.31872,577.87726,0.03291189
17,1,761254,-11,0.13154289,-2.587084,2,2,86.31872,577.87726,0.48648992
18,0,761258,11,1.334547,2.4961123,1,2,94.66551,567.25543,0.25841486
18,1,761258,-11,-1.8134984,-2.4574225,2,2,94.66551,567.25543,0.69505644
19,0,761255,11,1.3181622,2.7700276,1,2,93.9783,752.9252,0.38349086
19,1,761255,-11,-1.8282698,-2.7702367,2,2,93.9783,752.9252,0.4319155
20,0,761266,11,-1.6832309,2.351403,1,2,29.20437,159.02293,0.6390425
21,0,761267,11,-3.1195529,1.7490602,1,2,92.22705,268.88037,0.9225366
21,1,761267,-11,0.0077961823,-1.7159965,2,2,92.22705,268.88037,0.7084399
22,1,761265,-11,-2.5137544,-2.1616957,2,2,93.15381,406.83246,0.4364355
23,0,761263,11,0.62975323,2.1473536,1,2,97.95318,430.54013,0.3526776
24,0,761261,11,-1.2025664,2.5659075,1,2,74.98823,493.3669,0.7778442
24,1,761261,-11,1.9316721,-2.576613,2,2,74.98823,493.3669,0.6561629
25,1,761262,-11,0.08104275,-2.4715672,2,2,87.29162,516.2222,0.5859158
26,0,761268,11,-1.726475,1.790826,1,2,81.53283,250.48581,0.4726111
26,1,761268,-11,1.3999499,-1.7850769,2,2,81.53283,250.48581,0.34251997
27,0,761271,11,-0.92254627,1.963571,1,2,26.068455,95.35616,0.6196348
27,1,761271,-11,2.179827,-1.9782326,2,2,26.068455,95.35616,0.16758062
28,0,761269,11,-2.985999,1.6263394,1,2,92.31863,242.38318,0.9497702
28,1,761269,-11,0.13952994,-1.61374,2,2,92.31863,242.38318,0.6350361
29,0,761264,11,0.7795495,2.7101645,1,2,89.79455,668.6024,0.53519386
29,1,761264,-11,-2.3674204,-2.6825786,2,2,89.79455,668.6024,0.5203261
30,0,761273,11,1.7038671,2.5092347,1,2,24.861149,153.77992,0.56723094
30,1,761273,-11,-1.461417,-2.5083408,2,2,24.861149,153.77992,0.3538365
31,0,761274,11,-0.42302507,2.017332,1,2,33.970985,131.39883,0.6467049
31,1,761274,-11,2.6902127,-2.0403445,2,2,33.970985,131.39883,0.30036482
32,0,761280,11,2.8336027,2.180075,1,2,11.770479,52.528915,0.06505154
32,1,761280,-11,-0.37826642,-2.1725845,2,2,11.770479,52.528915,0.5099857
33,0,761277,11,1.6198925,2.1129105,1,2,29.968569,125.06501,0.72947073
33,1,761277,-11,-1.5513266,-2.1015112,2,2,29.968569,125.06501,0.2618466
34,0,761270,11,-1.5924779,2.3421745,1,2,58.41587,305.50906,0.19078773
34,1,761270,-11,1.5370682,-2.334395,2,2,58.41587,305.50906,0.7947513
