event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,cl3d_bdteg,cl3d_quality,deta,dphi,deltar,matches
6001,211,1.2670178,-1.700515,2,2,73.14995,203.02104,-1.0,30.47138,-1.6991487,1.2648695,21.0,5.0,19.0,27.0,0.011512079,0.011775547,16.86129,0.004659448,0.004118062,-0.65053046,0.0,0.0013663769,0.0021483898162841797,0.002546088080842597,True
6006,211,1.5921776,-2.7187119,2,2,27.88592,212.10854,-1.0,15.684673,-2.739693,1.5900561,41.0,3.0,5.0,41.0,0.031967744,0.032921325,36.752872,0.004038427,0.002170032,-0.5400399,0.0,-0.020981073,0.002121567726135254,0.0210880652738072,True
6012,211,0.30729693,-2.9684036,2,2,26.924297,268.4801,-1.0,16.324928,-2.9463718,0.3154109,37.0,12.0,3.0,29.0,0.042584155,0.06065924,24.854122,0.0046825116,0.0032361925,-0.3965836,0.0,0.022031784,0.008113980293273926,0.023478419480943213,True
6018,211,-2.4097204,2.825174,2,2,78.77116,664.2968,-1.0,71.404854,2.8249197,-2.4072962,41.0,9.0,5.0,31.0,0.0314129,0.029073011,31.299042,0.0037647088,0.0030068913,-0.49702755,0.0,-0.00025439262,0.0024242401123046875,0.002437551174683819,True
6022,211,1.8322667,2.2167847,2,2,67.447365,317.41113,-1.0,49.415314,2.217697,1.8308634,36.0,13.0,1.0,11.0,0.019932771,0.018836576,16.549974,0.004518426,0.004172277,-0.20591149,0.0,0.0009121895,0.0014033317565917969,0.0016737471951065762,True
6022,-211,-1.2977349,-2.2444572,1,2,67.447365,317.41113,-1.0,32.935974,-2.2465496,-1.292815,36.0,13.0,9.0,29.0,0.019472774,0.019093372,21.96439,0.004263241,0.0039002176,-0.6138649,0.0,-0.0020923615,0.004919886589050293,0.0053463314980816854,True
6023,-211,2.433976,2.6432705,1,2,30.121445,212.46457,-1.0,27.01629,2.6512525,2.4290302,33.0,13.0,1.0,13.0,0.036810633,0.036790848,8.178311,0.0052209836,0.004543883,-0.3792399,0.0,0.007982016,0.0049457550048828125,0.009390051276598452,True
6023,211,-0.7246579,-2.6400006,2,2,30.121445,212.46457,-1.0,22.324316,-2.6414464,-0.72551537,38.0,16.0,1.0,27.0,0.03757486,0.03383014,18.343307,0.005316462,0.003878164,-0.58213294,0.0,-0.0014457703,0.0008574724197387695,0.0016809255206375157,True
6035,-211,0.33927393,-1.8704516,1,2,64.107475,212.6808,-1.0,54.36679,-1.8709975,0.33984622,42.0,10.0,1.0,29.0,0.012305942,0.010647019,16.700544,0.004076368,0.0037056918,-0.5697719,0.0,-0.00054597855,0.0005722939968109131,0.0007909570099782748,True
6037,-211,1.7953453,2.640507,1,2,80.47286,574.20374,-1.0,68.65212,2.6428373,1.7960724,35.0,16.0,7.0,27.0,0.02769371,0.02744976,24.67295,0.003993596,0.003412007,-0.6288664,0.0,0.0023303032,0.0007270574569702148,0.002441091003148798,True
6038,-211,-1.1475887,-1.8058357,1,2,50.675026,159.39217,-1.0,36.64832,-1.8066261,-1.1479325,29.0,13.0,3.0,13.0,0.012153178,0.0123090325,6.2839074,0.00431883,0.003954903,-0.1455362,0.0,-0.0007903576,0.0003437995910644531,0.0008618951667382456,True
6038,211,1.9701988,1.8198596,2,2,50.675026,159.39217,-1.0,25.345884,1.8215281,1.9697607,37.0,6.0,11.0,36.0,0.011975558,0.01134752,36.557503,0.0041807964,0.0031148735,-0.60849,0.0,0.0016684532,0.0004380941390991211,0.0017250109015708177,True
6043,211,1.9456149,-1.5845205,2,2,37.572754,94.64696,-1.0,25.866997,-1.5835514,1.9439,27.0,10.0,5.0,29.0,0.008690866,0.009831446,11.000827,0.004048425,0.0036988303,-0.6696507,0.0,0.0009690523,0.001714944839477539,0.0019697964811061595,True
6043,-211,-1.1545175,1.5658559,1,2,37.572754,94.64696,-1.0,24.255884,1.5666922,-1.155169,23.0,12.0,1.0,13.0,0.008398468,0.009514091,4.103574,0.0039715376,0.0037680755,-0.012383304,1.0,0.0008363724,0.0006514787673950195,0.0010601619380294902,True
6046,-211,2.5093775,1.5480641,1,2,46.09175,111.91043,-1.0,29.840582,1.5481979,2.5097675,31.0,9.0,7.0,13.0,0.009036038,0.0083210245,20.047379,0.0044018053,0.0031754232,-0.042336423,0.0,0.00013375282,0.00039005279541015625,0.0004123481548819754,True
6050,-211,2.8462179,-2.6616964,1,2,39.496162,292.0505,-1.0,49.40083,-2.6589885,2.848476,30.0,7.0,3.0,27.0,0.026960263,0.021453433,8.630839,0.0037504735,0.0034196854,-0.5331804,0.0,0.0027079582,0.0022580623626708984,0.0035258875670357917,True
6051,-211,-2.9408956,2.6450396,1,2,63.19546,448.1448,-1.0,41.995564,2.640405,-2.942269,44.0,15.0,1.0,35.0,0.022042433,0.023184216,29.606453,0.0031959114,0.002666668,-0.23566437,0.0,-0.0046346188,0.0013735294342041016,0.004833867405349012,True
6051,211,0.19261833,-2.6490147,2,2,63.19546,448.1448,-1.0,60.032593,-2.6509588,0.19520159,25.0,13.0,3.0,17.0,0.029444635,0.026341766,5.3386807,0.004182902,0.0039497213,-0.2013498,0.0,-0.0019440651,0.0025832653045654297,0.0032330556325955743,True
6054,-211,-0.60259295,2.20707,1,2,51.307564,232.35954,-1.0,29.116728,2.2037196,-0.60276455,36.0,17.0,5.0,23.0,0.015477172,0.016657466,13.057854,0.003541065,0.003303203,-0.4772639,0.0,-0.0033504963,0.0001716017723083496,0.0033548879220675447,True
6054,211,2.5231266,-2.1755695,2,2,51.307564,232.35954,-1.0,27.061735,-2.1800818,2.5248268,35.0,15.0,1.0,13.0,0.022028431,0.022500005,10.8433,0.0051694536,0.0045571434,-0.46944112,0.0,-0.00451231,0.0017001628875732422,0.004821980444421617,True
