event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,deta,dphi,deltar,matches
9002,211,1.7239407,-1.9897009,2,2,91.56119,335.13934,-1.0,65.94794,-1.9894415,1.7241584,45,18,5,27,0.017479962,0.023102289,37.92606,0.0050303037,0.0035262126,0.0002593994,0.00021767616271972656,0.00033863102018620974,True
9002,-211,-1.4064882,1.9536343,1,2,91.56119,335.13934,-1.0,105.077774,1.9556757,-1.4069844,39,11,3,33,0.016957568,0.016472846,11.809299,0.005097349,0.0034310233,0.002041459,0.0004962682723999023,0.0021009134888197276,True
9008,211,1.7498922,-2.039962,2,2,28.80233,114.992294,-1.0,21.138622,-2.0443265,1.7526894,44,16,1,21,0.033315815,0.028375633,18.088152,0.008942478,0.0039446396,-0.0043644905,0.0027971267700195312,0.0051838880527676455,True
9008,-211,-1.3593631,2.0836232,1,2,28.80233,114.992294,-1.0,19.309788,2.0770662,-1.3587806,41,13,1,36,0.026371507,0.017543603,18.138855,0.007015923,0.003727479,-0.0065569878,0.0005824565887451172,0.006582806693754066,True
9009,211,-0.8886467,1.4518749,2,2,46.345192,105.813835,-1.0,15.405755,1.4265257,-0.9162978,4,4,41,41,0.020035388,8.9705004e-08,6.574674,0.0111847995,0.0,-0.02534914,0.027651071548461914,0.03751214057121817,True
9012,-211,-1.612146,-2.9730763,1,2,57.09495,561.61597,-1.0,20.829544,-2.9705453,-1.5969218,39,26,3,17,0.015873367,0.023972044,27.112307,0.001656393,0.0015306169,0.0025310516,0.015224218368530273,0.015433180077854589,True
9012,211,1.523031,2.980252,2,2,57.09495,561.61597,-1.0,33.059425,2.963523,1.5250472,43,13,1,13,0.02216162,0.028489543,17.456928,0.002349759,0.0022377241,-0.016729116,0.0020161867141723633,0.016850173434036237,True
9013,211,1.97009,2.8711746,2,2,57.925976,508.49612,-1.0,46.185833,2.8897734,1.968923,42,13,1,32,0.03875459,0.006399983,18.556326,0.0042185425,0.0031070423,0.018598795,0.0011670589447021484,0.01863537507496409,True
9013,-211,-1.1643294,-2.8532686,1,2,57.925976,508.49612,-1.0,48.15113,-2.8528762,-1.1850772,39,11,1,31,0.032229953,0.018957477,14.430573,0.0038105373,0.0027955263,0.00039243698,0.020747780799865723,0.02075149187175445,True
9014,211,-2.8993838,2.4953008,2,2,23.125998,141.985,-1.0,16.204565,2.4986734,-2.9218762,37,14,1,27,0.033743553,0.017555458,16.971731,0.005661444,0.004037939,0.0033726692,0.022492408752441406,0.022743863984091773,True
9022,-211,2.505919,1.8863556,1,2,14.569727,48.967148,-1.0,8.218651,1.8949802,2.5124617,38,14,1,11,0.032635644,0.026173374,20.86449,0.010479408,0.0031660371,0.008624554,0.006542682647705078,0.010825415734540225,True
9022,211,-0.7126477,-1.8790166,2,2,14.569727,48.967148,-1.0,14.382094,-1.8862067,-0.7253587,30,9,5,29,0.028654477,0.025964068,9.31694,0.009098684,0.0025992892,-0.0071901083,0.012711048126220703,0.014603711938282785,True
9025,-211,-2.5342083,2.4109006,1,2,40.0373,225.78998,-1.0,43.29767,2.410279,-2.5329146,42,9,1,32,0.032679293,0.033224657,18.27555,0.0060016913,0.0030269027,-0.00062155724,0.0012936592102050781,0.0014352308348908709,True
9025,211,0.59118116,-2.4191098,2,2,40.0373,225.78998,-1.0,36.080116,-2.4166274,0.59353656,51,10,1,31,0.026197413,0.025953714,33.451145,0.004799711,0.0033207159,0.0024824142,0.0023553967475891113,0.003422027808966247,True
9027,-211,3.1393542,1.9513316,1,2,8.158208,29.558847,-1.0,10.546346,1.9714496,3.1283824,28,10,7,23,0.030127283,0.020564528,7.829804,0.008755833,0.0022658778,0.020117998,0.010971784591674805,0.022915363873619206,True
9027,211,-0.12888902,-1.9718454,2,2,8.158208,29.558847,-1.0,7.230935,-1.973337,-0.12561063,31,6,3,27,0.014376512,0.015657792,10.027395,0.0041892272,0.0024138128,-0.0014916658,0.003278389573097229,0.0036017919370014946,True
9028,211,-1.521452,1.4818609,2,2,92.343185,212.90158,-1.0,85.999596,1.4695545,-1.544926,12,5,41,49,0.0059931376,0.003974084,10.903786,0.003348877,1.11459855e-08,-0.012306333,0.02347409725189209,0.02650432170430579,True
9028,-211,1.6389017,-1.4736261,1,2,92.343185,212.90158,-1.0,8.294508,-1.4983096,1.6593418,48,6,1,9,0.02245202,0.01463428,62.506626,0.011368435,0.00051046046,-0.024683475,0.020440101623535156,0.03204795966132561,True
9039,-211,0.8091843,2.0812922,1,2,76.61096,308.13824,-1.0,67.20965,2.086161,0.815828,49,20,1,32,0.025604874,0.025101379,36.41606,0.0066311015,0.0023784908,0.004868746,0.006643712520599365,0.008236722780124035,True
9039,211,-2.3444781,-2.0571408,2,2,76.61096,308.13824,-1.0,60.95016,-2.0551467,-2.3430355,46,24,1,41,0.027304295,0.025048552,41.239475,0.007391548,0.0037206816,0.001994133,0.0014426708221435547,0.002461273147220113,True
9040,211,-0.38060772,1.8187109,2,2,61.488113,192.38498,-1.0,52.78087,1.8193142,-0.38285428,47,15,1,17,0.016330725,0.018619373,38.4744,0.005743985,0.0027682134,0.0006033182,0.002246558666229248,0.002326159645090079,True
9045,-211,-1.145603,-2.9554865,1,2,48.402885,469.24094,-1.0,46.838223,-2.9318004,-1.1437078,42,25,1,23,0.040504437,0.03319471,17.994146,0.004400958,0.0030951924,0.02368617,0.0018951892852783203,0.023761868583022067,True
9045,211,1.9881592,2.9686286,2,2,48.402885,469.24094,-1.0,31.808912,2.9630256,2.0247235,30,14,5,27,0.021484027,0.0059991064,8.419162,0.0022875674,0.0018204337,-0.005603075,0.03656435012817383,0.03699116315238675,True
9047,-211,-2.9192324,-1.6504052,1,2,66.298416,176.03514,-1.0,53.867588,-1.654126,-2.920507,40,19,1,13,0.017742023,0.013303563,14.980111,0.00752405,0.00437625,-0.0037208796,0.0012745857238769531,0.003933130274387851,True
9053,-211,1.5914459,2.0753887,1,2,63.546238,259.39514,-1.0,56.99027,2.081077,1.5920085,38,9,3,27,0.018110173,0.017964602,12.55954,0.004687806,0.00317177,0.005688429,0.0005625486373901367,0.005716177515246878,True
9053,211,-1.564445,-2.093475,2,2,63.546238,259.39514,-1.0,65.44749,-2.0919168,-1.5641416,38,11,3,31,0.015949473,0.018966114,9.345102,0.004163706,0.0031015498,0.0015583038,0.0003033876419067383,0.0015875625648233747,True
9054,211,-1.9168147,-1.6666662,2,2,81.81967,221.15602,-1.0,75.049614,-1.6617203,-1.9197814,42,20,7,29,0.020257656,0.017251305,31.474905,0.008725633,0.0033519317,0.004945874,0.002966761589050293,0.0057674383914976595,True
9054,-211,1.2422833,1.6363908,1,2,81.81967,221.15602,-1.0,78.56253,1.6361275,1.2427812,45,25,1,11,0.018963838,0.016634947,25.429377,0.00835974,0.0039173164,-0.00026333332,0.0004978179931640625,0.0005631759867620656,True
9063,211,0.22617514,2.559918,2,2,36.512547,236.63617,-1.0,37.1299,2.5549946,0.21239929,46,13,3,35,0.040976062,0.032023434,29.201876,0.006497618,0.0032117518,-0.0049233437,0.013775855302810669,0.014629200315662373,True
9063,-211,-2.9000125,-2.552135,1,2,36.512547,236.63617,-1.0,32.2016,-2.554418,-2.8952556,40,16,1,27,0.03355337,0.023079341,17.261715,0.005330951,0.00409257,-0.0022830963,0.004756927490234375,0.005276446524315184,True
9065,-211,-0.19081807,2.882818,1,2,83.26837,750.95355,-1.0,48.413223,2.8794787,-0.1995511,50,23,1,48,0.038318604,0.023323467,45.597294,0.0043255487,0.003866663,-0.0033392906,0.008733034133911133,0.009349692336870415,True
9070,-211,-1.2208183,2.5084505,1,2,53.92654,336.89514,-1.0,58.33544,2.5039742,-1.2192273,34,14,1,13,0.026490284,0.021731779,8.0373125,0.0044376203,0.003520545,-0.004476309,0.0015909671783447266,0.004750633441004797,True
9070,211,1.910004,-2.529329,2,2,53.92654,336.89514,-1.0,37.068798,-2.534429,1.9185936,47,27,1,29,0.03536494,0.04782058,29.821415,0.005651838,0.004455004,-0.005100012,0.008589625358581543,0.009989583793372527,True
9076,-211,0.7549785,-2.2532635,1,2,52.28447,253.07845,-1.0,40.795593,-2.2422385,0.7621056,43,16,1,31,0.029789219,0.022866592,26.544209,0.0066876276,0.003158615,0.011024952,0.007127106189727783,0.013128031367164361,True
9076,211,-2.4011378,2.265397,2,2,52.28447,253.07845,-1.0,51.934513,2.2661943,-2.409752,40,19,1,23,0.024245834,0.027392892,12.923226,0.005253829,0.0035132233,0.0007972717,0.008614063262939453,0.008650880192617014,True
9079,-211,-0.19984408,-2.2616017,1,2,70.57531,338.92892,-1.0,61.295326,-2.2596467,-0.20463997,40,26,1,33,0.02202358,0.024278326,16.834787,0.0047971485,0.0029516483,0.0019550323,0.004795894026756287,0.005179068545605219,True
9079,211,2.9309325,2.2409947,2,2,70.57531,338.92892,-1.0,53.125385,2.2385864,2.9292235,45,24,1,29,0.03386741,0.028191106,19.485039,0.0075680204,0.0047239987,-0.002408266,0.001708984375,0.0029530277663859096,True
9090,-211,1.9450719,-1.8906809,1,2,10.828111,36.62811,-1.0,6.1531124,-1.8875566,1.9357673,29,13,3,3,0.020508911,0.021711303,14.359267,0.006665424,0.003760094,0.0031243563,0.009304642677307129,0.009815191156519597,True
9090,211,-1.2993517,1.8885872,2,2,10.828111,36.62811,-1.0,8.878363,1.8885548,-1.2938616,37,8,1,25,0.024868751,0.020862022,16.586037,0.007891043,0.003093351,-3.2424927e-05,0.00549006462097168,0.0054901603727323086,True
9093,211,1.6026478,-1.66148,2,2,35.48258,96.98521,-1.0,32.515465,-1.6650062,1.6009341,35,8,3,23,0.014232205,0.014403519,12.854682,0.005918962,0.0035594269,-0.0035262108,0.0017136335372924805,0.003920548708075228,True
9093,-211,-1.4990574,1.6654162,1,2,35.48258,96.98521,-1.0,16.22862,1.6622804,-1.4945115,18,15,23,29,0.017539013,0.017723156,15.37457,0.0074920463,0.0037435915,-0.0031358004,0.004545927047729492,0.005522562504588541,True
9101,211,2.4910305,1.4622959,2,2,99.95692,223.58142,-1.0,87.28526,1.4595776,2.4870942,8,8,42,47,0.020625895,3.1668332e-08,16.082243,0.011520827,1.7273987e-08,-0.0027183294,0.003936290740966797,0.004783690997284062,True
9103,-211,2.044057,1.6473361,1,2,16.306952,42.790634,-1.0,27.20465,1.643228,2.0519319,38,7,5,35,0.0081200395,0.009171151,13.012326,0.0035201753,0.002120821,-0.0041080713,0.00787496566772461,0.008882079434393666,True
9103,211,-1.1885182,-1.5930415,2,2,16.306952,42.790634,-1.0,19.091429,-1.5917861,-1.1969159,34,15,3,21,0.015454645,0.019467982,16.082884,0.007193956,0.0033486162,0.001255393,0.008397698402404785,0.008491015846113056,True
9104,-211,0.60126716,2.0958633,1,2,87.48883,354.3337,-1.0,85.38935,2.0929375,0.59980196,46,11,1,33,0.020222506,0.023327354,15.896966,0.0052520256,0.0034266561,-0.0029258728,0.0014652013778686523,0.0032722387956090407,True
9104,211,-2.5508096,-2.0571027,2,2,87.48883,354.3337,-1.0,60.91104,-2.056218,-2.5442407,51,26,1,11,0.027547013,0.027507128,43.915764,0.0073343175,0.00401505,0.00088477135,0.00656890869140625,0.006628226137707281,True
9106,-211,1.6251351,2.1496925,1,2,82.04489,352.3716,-1.0,82.64224,2.1467519,1.6271226,51,15,1,35,0.02580658,0.022791546,33.1963,0.00630864,0.0030088366,-0.0029406548,0.0019875764846801758,0.0035493535243842586,True
9110,211,1.0162086,2.638064,2,2,18.16943,125.75423,-1.0,16.942934,2.6325347,1.0318013,32,13,1,11,0.029661888,0.022604961,8.649336,0.004392173,0.0036162748,-0.0055291653,0.015592694282531738,0.016543995363345634,True
9116,-211,-2.7614362,-2.0976067,1,2,65.0974,271.81592,-1.0,58.840553,-2.093734,-2.7601955,44,18,1,17,0.027366914,0.020589639,34.685303,0.0070909634,0.003960235,0.003872633,0.0012407302856445312,0.0040665339344567505,True
9116,211,0.36648476,2.117981,2,2,65.0974,271.81592,-1.0,56.66394,2.119986,0.3693218,46,26,1,21,0.02661114,0.02482027,27.039267,0.0065067476,0.003219469,0.0020051003,0.0028370320796966553,0.00347407222253415,True
9118,-211,-1.552634,-2.6090772,1,2,72.51623,494.78827,-1.0,56.16201,-2.609946,-1.544212,43,14,1,29,0.032899622,0.026690159,20.033274,0.0048309686,0.0039288867,-0.0008687973,0.008422017097473145,0.008466710148724832,True
