event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,deta,dphi,deltar,matches
83363,-211,-0.40167242,-1.5525334,1,2,47.096004,116.080086,-1.0,38.249344,-1.5489554,-0.3954805,36,17,9,15,0.017069776,0.026118718,26.802586,0.0083340565,0.003880479,0.0035779476,0.006191909313201904,0.007151325054354833,True
83363,211,2.7059882,1.5501282,2,2,47.096004,116.080086,-1.0,48.831024,1.5513637,2.7025084,24,13,23,44,0.025237042,0.018296555,23.073967,0.012254646,0.0011339878,0.0012354851,0.0034797191619873047,0.003692542324951042,True
83369,-211,-1.9313077,-1.4562272,1,2,43.95501,99.26315,-1.0,42.681843,-1.464662,-1.9111356,8,8,42,43,0.015408534,3.2110805e-08,13.856071,0.008604176,2.0915069e-08,-0.0084347725,0.020172119140625,0.0218645782263638,True
83385,211,2.9445448,1.7442589,2,2,70.133835,208.3387,-1.0,52.40633,1.746416,2.9434283,48,25,1,11,0.014597709,0.012961069,29.981842,0.005601372,0.0035531453,0.002157092,0.0011165142059326172,0.002428919566732034,True
83386,-211,-0.8066667,-2.1067367,1,2,61.704674,250.70807,-1.0,69.75701,-2.099773,-0.8069046,39,15,1,25,0.020360533,0.020487927,16.228107,0.005242794,0.0032613648,0.00696373,0.00023794174194335938,0.006967793755078358,True
83386,211,2.3201084,2.0532174,2,2,61.704674,250.70807,-1.0,71.20301,2.0602965,2.3151858,45,25,3,32,0.021102022,0.024953907,23.194925,0.0055574724,0.002933525,0.0070791245,0.004922628402709961,0.008622428455483897,True
83392,211,1.74428,-2.1555338,2,2,8.60563,38.071335,-1.0,6.07282,-2.1545355,1.7527171,32,11,1,9,0.025874719,0.020821454,12.072277,0.0063069668,0.0027685435,0.0009982586,0.008437156677246094,0.008496006882851365,True
83394,-211,-2.8018396,2.0203195,1,2,92.92665,361.57904,-1.0,80.72513,2.0271068,-2.800893,51,27,1,29,0.036101647,0.029618379,32.29878,0.009803695,0.0032553328,0.0067873,0.0009465217590332031,0.006852980761112548,True
83397,-211,-1.2057258,2.4620152,1,2,48.389187,284.97098,-1.0,41.494625,2.4650042,-1.2105757,40,24,1,21,0.032699104,0.02470757,17.809757,0.005679298,0.004060061,0.0029890537,0.004849910736083984,0.005697023456966558,True
83398,211,0.09744628,-2.5951033,2,2,58.391186,393.732,-1.0,51.087536,-2.6014013,0.0962147,48,18,1,42,0.03127852,0.02889676,39.82754,0.004658692,0.0037249504,-0.006298065,0.0012315809726715088,0.0064173527855061925,True
83398,-211,-3.0348833,2.5971212,1,2,58.391186,393.732,-1.0,46.99858,2.6097174,-3.0375533,43,21,3,21,0.038569387,0.022389691,19.702885,0.0055363774,0.0035787995,0.01259613,0.0026700496673583984,0.012876011243849978,True
83401,211,-1.9113196,2.7062027,2,2,59.005585,445.41754,-1.0,50.502834,2.707729,-1.9160467,44,28,1,23,0.030036228,0.02789828,24.451283,0.004100187,0.003241121,0.0015263557,0.00472712516784668,0.0049674414146444355,True
83404,-211,-2.6764946,-1.5026187,1,2,45.910156,107.01263,-1.0,37.232677,-1.4702893,-2.6427948,4,4,41,42,3.159139e-05,0.008220625,6.0490503,3.1622097e-08,1.8938735e-08,0.03232932,0.033699750900268555,0.04669965990872119,True
83404,211,0.4278391,1.4773897,2,2,45.910156,107.01263,-1.0,5.1012816,1.4530383,0.39269912,4,4,41,43,0.024277942,3.601685e-08,9.347364,0.013559992,2.0815106e-08,-0.024351358,0.03513997793197632,0.042752856418847414,True
83405,211,2.5330763,-2.6031737,2,2,17.669477,120.10479,-1.0,10.813696,-2.6146007,2.544005,25,9,1,17,0.034787837,0.011968257,4.847657,0.0049709375,0.0029401258,-0.011426926,0.010928630828857422,0.01581169181890076,True
83405,-211,-0.57819164,2.605337,1,2,17.669477,120.10479,-1.0,14.117974,2.6280515,-0.5664842,38,9,1,27,0.04869064,0.04334412,16.734457,0.0070418417,0.0033723773,0.022714615,0.011707425117492676,0.025554208204453723,True
83411,211,2.3302069,-1.4764466,2,2,97.64164,224.43306,-1.0,81.70156,-1.4695711,2.3337479,9,9,42,44,0.0062316065,0.013273806,18.572931,0.003481933,1.1860616e-08,0.006875515,0.0035409927368164062,0.007733778989007265,True
