entry,subentry,event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem
10,0,81366,-211,1.3661346,-3.065786,1,2,20.025862,215.32207,-1.0
10,1,81366,211,-1.7922758,3.066413,2,2,20.025862,215.32207,-1.0
19,0,81364,-211,2.6963985,1.5136886,1,2,61.39694,146.72493,-1.0
19,1,81364,211,-0.47221246,-1.5211467,2,2,61.39694,146.72493,-1.0
24,0,81362,-211,1.5110109,2.157312,1,2,29.18303,129.59567,-1.0
24,1,81362,211,-1.659084,-2.1850688,2,2,29.18303,129.59567,-1.0
27,0,81370,-211,1.1243238,1.963631,1,2,28.805182,104.9923,-1.0
27,1,81370,211,-2.0529041,-1.9706973,2,2,28.805182,104.9923,-1.0
30,0,81393,-211,-1.7605749,-2.6510391,1,2,8.118265,58.03248,-1.0
30,1,81393,211,1.3183126,2.6595044,2,2,8.118265,58.03248,-1.0
32,0,81387,-211,1.5129857,-2.114214,1,2,47.887074,201.80183,-1.0
32,1,81387,211,-1.6469334,2.12023,2,2,47.887074,201.80183,-1.0
37,0,81379,-211,1.4257003,2.1330316,1,2,30.524326,131.46371,-1.0
37,1,81379,211,-1.7440464,-2.1462696,2,2,30.524326,131.46371,-1.0
40,0,81388,-211,-1.2357384,1.4499559,1,2,86.03996,198.57443,-1.0
40,1,81388,211,1.8857384,-1.5089543,2,2,86.03996,198.57443,-1.0
44,1,81380,211,1.0407503,2.5489812,2,2,34.293373,222.46585,-1.0
52,0,81412,-211,-2.952947,1.4804536,1,2,38.75333,90.487976,-1.0
53,0,81394,-211,2.5919461,1.5956533,1,2,71.54491,184.56946,-1.0
53,1,81394,211,-0.5707956,-1.6063573,2,2,71.54491,184.56946,-1.0
54,0,81389,-211,2.2145162,-2.6038222,1,2,34.78417,241.73341,-1.0
59,0,81396,-211,-2.987905,-2.3339758,1,2,30.319462,155.554,-1.0
59,1,81396,211,0.13010426,2.3037395,2,2,30.319462,155.554,-1.0
62,0,81401,-211,0.5379477,2.185718,1,2,34.908485,157.23769,-1.0
63,0,81368,-211,2.2675636,-2.1800826,1,2,89.71621,397.54816,-1.0
63,1,81368,211,-0.8832928,2.1577177,2,2,89.71621,397.54816,-1.0
68,1,81427,211,0.62390685,3.09363,2,2,38.217308,419.9704,-1.0
70,0,81417,-211,-0.7520262,1.9589584,1,2,32.61747,118.7744,-1.0
70,1,81417,211,2.3580656,-1.9734083,2,2,32.61747,118.7744,-1.0
71,0,81415,-211,-2.822152,1.8607498,1,2,51.94519,170.29118,-1.0
71,1,81415,211,0.29724115,-1.8520095,2,2,51.94519,170.29118,-1.0
72,0,81428,-211,-3.0451639,1.8751454,1,2,23.982939,80.698105,-1.0
72,1,81428,211,0.04973116,-1.8924503,2,2,23.982939,80.698105,-1.0
79,1,81426,211,2.2089996,-1.490462,2,2,83.9716,196.47229,-1.0
86,0,81418,-211,0.92403895,-2.2985785,1,2,43.390263,215.73415,-1.0
86,1,81418,211,-2.2345486,2.274971,2,2,43.390263,215.73415,-1.0
89,0,81434,-211,1.9194127,-2.2009964,1,2,44.954826,208.48904,-1.0
89,1,81434,211,-1.2398065,2.2303483,2,2,44.954826,208.48904,-1.0
94,0,81457,-211,-0.7484991,-2.5202804,1,2,12.983593,80.805855,-1.0
94,1,81457,211,2.3479474,2.509897,2,2,12.983593,80.805855,-1.0
95,1,81423,211,-2.5985708,1.9104297,2,2,81.59267,282.51855,-1.0
98,0,81445,-211,0.8985155,1.9445288,1,2,67.80017,245.73415,-1.0
98,1,81445,211,-2.2582817,-1.978276,2,2,67.80017,245.73415,-1.0
99,0,81449,-211,-2.9188204,-1.6240698,1,2,81.23228,213.13992,-1.0
109,0,81473,-211,0.13342327,-2.3169909,1,2,57.31712,295.80823,-1.0
109,1,81473,211,-3.0205548,2.3325617,2,2,57.31712,295.80823,-1.0
115,0,81472,-211,-0.25356653,2.892507,1,2,22.436098,203.58281,-1.0
115,1,81472,211,2.8702316,-2.898525,2,2,22.436098,203.58281,-1.0
116,0,81458,-211,-0.08983422,2.2276218,1,2,86.27995,400.1657,-1.0
116,1,81458,211,3.0425403,-2.2037354,2,2,86.27995,400.1657,-1.0
117,0,81443,-211,1.631116,2.961967,1,2,49.025955,475.6401,-1.0
119,1,81432,211,1.9919937,2.959002,2,2,73.30707,718.06415,-1.0
123,0,81485,-211,-1.1822965,2.3897362,1,2,4.595299,25.549044,-1.0
123,1,81485,211,1.8161707,-2.4131184,2,2,4.595299,25.549044,-1.0
124,0,81479,-211,3.137616,-1.7473028,1,2,57.431606,171.50276,-1.0
124,1,81479,211,-0.026258392,1.7685864,2,2,57.431606,171.50276,-1.0
140,0,81504,-211,-2.0858836,3.0512486,1,2,31.769869,337.1496,-1.0
140,1,81504,211,1.0449785,-3.0546203,2,2,31.769869,337.1496,-1.0
141,1,81455,211,2.0488186,-2.5628471,2,2,88.39505,572.2316,-1.0
143,0,81498,-211,3.0466664,1.7508532,1,2,29.56597,87.893486,-1.0
143,1,81498,211,-0.13840356,-1.7554569,2,2,29.56597,87.893486,-1.0
144,0,81480,-211,2.2393851,-2.075699,1,2,63.096165,255.48186,-1.0
144,1,81480,211,-0.9167106,2.0763762,2,2,63.096165,255.48186,-1.0
147,0,81506,-211,-2.0157967,-1.7072976,1,2,4.2375336,12.2694645,-1.0
147,1,81506,211,0.8132019,1.7509308,2,2,4.2375336,12.2694645,-1.0
151,0,81495,-211,1.7110574,2.0735135,1,2,27.833897,115.03096,-1.0
151,1,81495,211,-1.4627683,-2.1214452,2,2,27.833897,115.03096,-1.0
155,0,81459,-211,-1.5123751,2.6312077,1,2,82.36967,585.06445,-1.0
158,0,81481,-211,2.746572,1.7652051,1,2,70.647865,214.67108,-1.0
158,1,81481,211,-0.4127798,-1.7875637,2,2,70.647865,214.67108,-1.0
159,1,81522,211,-2.005611,-2.861609,2,2,4.7337656,40.82527,-1.0
166,0,81521,-211,-2.2064652,2.1190386,1,2,25.817251,109.84741,-1.0
166,1,81521,211,0.9014093,-2.135307,2,2,25.817251,109.84741,-1.0
167,1,81519,211,-2.133659,-2.1069427,2,2,21.548363,88.61453,-1.0
168,0,81528,-211,1.6915233,-2.3226745,1,2,30.416224,160.98557,-1.0
168,1,81528,211,-1.4728014,2.3790855,2,2,30.416224,160.98557,-1.0
172,0,81507,-211,-1.7938275,2.160803,1,2,77.04418,345.3981,-1.0
172,1,81507,211,1.3371,-2.2012224,2,2,77.04418,345.3981,-1.0
173,0,81518,-211,1.2272242,-2.7351706,1,2,37.74946,292.86633,-1.0
173,1,81518,211,-1.9267367,2.740274,2,2,37.74946,292.86633,-1.0
175,1,81469,211,2.3412008,-2.7925081,2,2,97.34848,817.60156,-1.0
177,0,81539,-211,-2.8121555,1.4662668,1,2,11.006538,25.504002,-1.0
177,1,81539,211,0.17287204,-1.5025958,2,2,11.006538,25.504002,-1.0
178,0,81530,-211,1.4821554,1.6611767,1,2,86.97634,235.35771,-1.0
178,1,81530,211,-1.6758676,-1.6440965,2,2,86.97634,235.35771,-1.0
179,0,81537,-211,-0.52613467,-1.6866693,1,2,52.684082,149.7325,-1.0
179,1,81537,211,2.5897954,1.7241827,2,2,52.684082,149.7325,-1.0
180,0,81531,-211,-0.56378496,1.6361694,1,2,83.744835,220.97797,-1.0
