event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,cl3d_bdteg,cl3d_quality,deta,dphi,deltar,matches
24505,-11,-1.5950488,-2.2151022,1,2,74.133575,354.78818,0.87712663,72.08814,-2.2178998,-1.599549,27.0,14.0,1.0,9.0,0.01710816,0.02212285,5.507982,0.0038544233,0.0036028894,0.17458433,1.0,-0.0027976036,0.004500269889831543,0.0052989635587390675,True
24505,11,1.5569047,2.2814844,2,2,74.133575,354.78818,0.88569003,67.80587,2.2822375,1.5515026,21.0,11.0,1.0,9.0,0.020081442,0.018980326,4.6393285,0.0042101904,0.0038335815,0.025285214,0.0,0.0007531643,0.005402088165283203,0.005454338914598684,True
24508,-11,1.662852,2.3858888,1,2,75.6648,409.47296,0.703813,73.56511,2.3829048,1.6585895,23.0,12.0,1.0,9.0,0.019601192,0.01987461,5.033735,0.0037127654,0.003490729,0.12014599,1.0,-0.002984047,0.004262566566467285,0.005203269150257894,True
24508,11,-1.4697796,-2.3604026,2,2,75.6648,409.47296,0.6910882,77.19318,-2.3609164,-1.4711004,23.0,12.0,1.0,9.0,0.019199757,0.02242644,5.032384,0.0037209408,0.0035350204,0.12014599,1.0,-0.00051379204,0.0013208389282226562,0.00141725006000474,True
24509,11,-1.7437676,2.3156297,2,2,79.423706,400.4207,0.86759937,76.804634,2.3142295,-1.747657,42.0,12.0,1.0,9.0,0.018949484,0.021264603,9.388021,0.0038580177,0.003647032,0.12014599,1.0,-0.0014002323,0.003889322280883789,0.004133700313748408,True
24509,-11,1.3886483,-2.286368,1,2,79.423706,400.4207,0.12525563,81.985466,-2.2882404,1.3888596,27.0,14.0,1.0,13.0,0.017070357,0.020587819,5.222901,0.0035666157,0.0033401921,0.24911775,1.0,-0.0018725395,0.00021135807037353516,0.0018844300169710009,True
24511,-11,2.0369153,1.6022879,1,2,14.381822,37.273384,0.73565656,9.439185,1.6025473,2.072865,21.0,8.0,3.0,11.0,0.0069022817,0.010916288,5.9517984,0.0031435236,0.002939024,-0.15712026,1.0,0.0002593994,0.03594970703125,0.03595064288282925,True
24511,11,-1.0002875,-1.610529,2,2,14.381822,37.273384,0.21814173,11.44351,-1.6131425,-0.99045837,15.0,6.0,3.0,7.0,0.007982346,0.010655764,3.967668,0.0035855495,0.003392457,-0.2070413,1.0,-0.0026135445,0.009829163551330566,0.010170696660372808,True
24516,-11,0.3976838,2.5394108,1,2,9.472142,60.94012,0.16379713,10.318318,2.5444708,0.39150414,19.0,10.0,1.0,7.0,0.028308341,0.03273932,4.949223,0.0045256745,0.004177171,-0.30175236,0.0,0.0050599575,0.0061796605587005615,0.007986950320269547,True
24516,11,-2.684362,-2.5581517,2,2,9.472142,60.94012,0.6165793,8.4250765,-2.5581882,-2.678431,11.0,6.0,3.0,7.0,0.029506966,0.03707097,3.5544298,0.004639801,0.004392032,-0.58068526,0.0,-3.6478043e-05,0.005930900573730469,0.005931012751888881,True
24517,11,-2.1608899,2.3593807,2,2,55.366894,294.9149,0.17367844,52.663048,2.3595679,-2.1570787,25.0,13.0,1.0,11.0,0.020113038,0.020266287,5.4502306,0.0038917996,0.003753599,0.20730595,1.0,0.00018715858,0.0038111209869384766,0.0038157137619153785,True
24517,-11,0.96832454,-2.3544822,1,2,55.366894,294.9149,0.48480523,54.04587,-2.35474,0.9686677,23.0,12.0,1.0,11.0,0.020179177,0.021527037,5.0752482,0.0039225747,0.0037047588,0.18189266,1.0,-0.00025773048,0.00034314393997192383,0.0004291535458630861,True
24519,-11,-0.032715328,2.3405151,1,2,27.813238,146.25166,0.7982336,30.113256,2.3403435,-0.031588305,21.0,11.0,1.0,11.0,0.022991737,0.020215949,5.286582,0.0044897846,0.0038921894,-0.026314506,0.0,-0.00017166138,0.0011270232498645782,0.0011400215059694087,True
24519,11,3.1338665,-2.347142,2,2,27.813238,146.25166,0.5715306,26.607832,-2.3484232,3.133966,21.0,11.0,3.0,9.0,0.0187894,0.023741355,5.0209227,0.0036774054,0.0034430537,-0.06142434,1.0,-0.0012812614,9.942054748535156e-05,0.001285112965220756,True
24520,11,-2.4793704,1.6693496,2,2,75.59603,209.27583,0.8275972,52.203423,1.6698878,-2.4904127,19.0,10.0,1.0,7.0,0.009379877,0.0120133925,4.546285,0.003939987,0.003430758,-0.005448497,1.0,0.00053822994,0.011042356491088867,0.011055465993475504,True
24520,-11,0.64382315,-1.684855,1,2,75.59603,209.27583,0.38740757,58.018654,-1.6851248,0.6435611,21.0,11.0,3.0,9.0,0.009166521,0.010142204,5.2184954,0.003764474,0.0035797218,-0.096146286,1.0,-0.00026977062,0.0002620220184326172,0.00037607409745221633,True
24521,-11,2.3281388,1.7421346,1,2,42.919422,126.80296,0.48454252,42.804176,1.7435632,2.327415,21.0,11.0,1.0,7.0,0.009687156,0.0139785325,4.4351077,0.0037106236,0.003539411,0.06562418,1.0,0.0014286041,0.0007238388061523438,0.001601515646520292,True
24521,11,-0.7833862,-1.7509619,2,2,42.919422,126.80296,0.17788444,39.060463,-1.7502235,-0.7821198,19.0,10.0,3.0,9.0,0.009316539,0.00967151,4.471221,0.0035461327,0.0032773654,-0.10079757,1.0,0.00073838234,0.0012663602828979492,0.0014659047872742955,True
24527,11,1.7728362,2.652449,2,2,67.94723,491.53564,0.8363371,71.45182,2.6553369,1.7734807,23.0,12.0,1.0,9.0,0.032145966,0.026981264,4.479304,0.004540828,0.0039074854,-0.076488495,0.0,0.0028879642,0.0006444454193115234,0.002958994312794549,True
24527,-11,-1.3760214,-2.6820583,1,2,67.94723,491.53564,0.49193227,74.64223,-2.680574,-1.3770369,27.0,14.0,1.0,11.0,0.028792998,0.03190524,6.496506,0.0039694305,0.0036749537,0.24565427,1.0,0.0014843941,0.0010155439376831055,0.0017985425362682535,True
24529,-11,-2.6015086,2.702769,1,2,95.24939,711.4921,0.47095886,95.41178,2.6991615,-2.5976956,25.0,13.0,3.0,11.0,0.02896968,0.026992958,5.984328,0.003953292,0.0036070282,0.07690291,1.0,-0.0036075115,0.003813028335571289,0.005249126103980484,True
24529,11,0.54516596,-2.6962483,2,2,95.24939,711.4921,0.5052599,96.22179,-2.6971912,0.5456448,21.0,11.0,3.0,9.0,0.02789983,0.026206428,5.1915455,0.003774728,0.003395344,-0.020048046,1.0,-0.0009429455,0.0004788637161254883,0.0010575711028237027,True
24531,11,-1.2459702,1.578644,2,2,50.496624,128.82864,0.9992963,51.627495,1.5793564,-1.2589304,23.0,10.0,3.0,9.0,0.007251515,0.009271389,4.341023,0.0033817054,0.0032338111,-0.10079757,1.0,0.0007123947,0.012960195541381836,0.012979760194236842,True
