event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,deta,dphi,deltar,matches
19783,-11,-0.33627984,-2.5050406,1,2,44.12209,269.34607,0.5059836,55.90486,-2.5015082,-0.33150846,30,16,1,9,0.030669615,0.025629058,6.4390783,0.005176426,0.0037873301,0.0035324097,0.004771381616592407,0.005936665780849977,True
19783,11,2.8187733,2.4858832,2,2,44.12209,269.34607,0.99128306,52.469143,2.4915197,2.820794,37,15,1,9,0.027715636,0.027822094,9.845559,0.004605255,0.003653641,0.0056364536,0.0020208358764648438,0.005987769868568839,True
19786,-11,-0.04724534,-2.853682,1,2,28.877874,251.10109,0.9796358,41.976593,-2.8414714,-0.037645407,49,14,1,9,0.057719912,0.02968587,24.501463,0.00692503,0.003975105,0.0122106075,0.009599931538105011,0.015532469974800055,True
19786,11,3.108757,2.851544,2,2,28.877874,251.10109,0.100500606,38.87702,2.8329582,3.1216705,47,13,1,9,0.050442036,0.0345456,20.553375,0.006128022,0.0031853197,-0.018585682,0.01291346549987793,0.02263150819643377,True
19791,-11,2.6091156,2.8405385,1,2,80.763695,701.34985,0.9455756,68.89177,2.8380356,2.5970414,34,15,1,13,0.026764184,0.007924481,6.501445,0.0031443175,0.0029870532,-0.0025029182,0.01207423210144043,0.012330923742577703,True
19791,11,-0.5273584,-2.8621724,2,2,80.763695,701.34985,0.3338966,53.81662,-2.8836865,-0.55027235,31,12,3,9,0.021944359,0.011288879,5.809852,0.0023999277,0.0018473949,-0.021514177,0.02291393280029297,0.03143100628799223,True
19792,-11,-1.7593188,2.4783258,1,2,14.994266,91.31401,0.3917526,10.11336,2.4753587,-1.7784805,25,13,1,11,0.025480298,0.011770486,5.8496957,0.0044340105,0.003676496,-0.0029671192,0.019161701202392578,0.019390064203480266,True
19792,11,1.4220676,-2.5079815,2,2,14.994266,91.31401,0.003918062,16.460182,-2.5086343,1.4319692,25,11,1,9,0.026423045,0.023362676,5.1415386,0.004436204,0.0034738579,-0.00065279007,0.00990152359008789,0.009923018909586405,True
19795,11,-2.1120422,-2.3860195,2,2,27.692303,151.07414,0.9736805,28.866503,-2.3832645,-2.1132722,27,12,1,7,0.033328947,0.02599595,5.2604613,0.006340045,0.0034762206,0.0027549267,0.001230001449584961,0.0030170390335029678,True
19795,-11,1.005376,2.3765628,1,2,27.692303,151.07414,0.39453384,31.486176,2.3740947,1.002942,35,12,1,7,0.020837057,0.019790722,6.9176235,0.004049741,0.003118595,-0.0024681091,0.0024340152740478516,0.003466409242448107,True
