event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,deta,dphi,deltar,matches
9765,11,-2.0155225,-2.19859,2,2,36.949436,166.19485,0.7394231,47.759895,-2.197134,-2.017968,45.0,20.0,1.0,7.0,0.0187091,0.022868268,7.8436093,0.0042979843,0.0029434506,0.0014560223,0.0024454593658447266,0.002846097728867225,True
9765,-11,1.1039168,2.1699998,1,2,36.949436,166.19485,0.6919711,42.34232,2.1705096,1.1029389,41.0,17.0,1.0,9.0,0.021822462,0.021892766,8.229907,0.0051864097,0.0035827202,0.0005097389,0.0009778738021850586,0.0011027560662825874,True
9767,-11,0.50092816,-2.0664508,1,2,64.21504,256.88873,0.025233805,84.300804,-2.0696416,0.5058022,43.0,26.0,1.0,9.0,0.019658247,0.018462371,9.518493,0.0052024093,0.002625186,-0.0031907558,0.004874050617218018,0.00582557226537631,True
9767,11,-2.6262598,2.0606792,2,2,64.21504,256.88873,0.9169873,76.473885,2.0604825,-2.6246831,42.0,16.0,1.0,9.0,0.014861897,0.019886294,8.110032,0.00396503,0.0024063743,-0.00019669533,0.0015766620635986328,0.0015888839840445359,True
9771,-11,-1.5730538,-1.9242256,1,2,39.05119,137.56679,0.47446316,48.73835,-1.919209,-1.5772357,46.0,14.0,1.0,9.0,0.020397836,0.022203868,8.641572,0.006521282,0.0027842983,0.0050165653,0.004181861877441406,0.006530995050054478,True
9771,11,1.595691,1.9390976,2,2,39.05119,137.56679,0.9423466,44.51954,1.9354235,1.5868441,43.0,14.0,1.0,9.0,0.017546022,0.012612946,8.515544,0.0055443686,0.0029437703,-0.0036741495,0.008846879005432129,0.00957949071856955,True
9772,11,2.3014023,1.8894554,2,2,88.74441,304.80496,0.77112967,106.608475,1.8883961,2.3004184,41.0,18.0,1.0,9.0,0.0125465505,0.013993547,7.137733,0.0040577264,0.0026046117,-0.0010592937,0.0009839534759521484,0.0014457757877065665,True
9772,-11,-0.85247695,-1.9211602,1,2,88.74441,304.80496,0.34424394,111.8126,-1.9171678,-0.8557362,38.0,21.0,1.0,11.0,0.012647141,0.014912466,6.504312,0.003967884,0.0028192452,0.0039924383,0.0032592415809631348,0.005153854840772114,True
9775,11,3.0835848,-2.4016228,2,2,96.05778,536.0989,0.29073876,123.061325,-2.402503,3.0816267,52.0,30.0,1.0,11.0,0.028032906,0.026032237,11.067715,0.005127167,0.0023636457,-0.0008802414,0.001958131790161133,0.0021468826282371265,True
9775,-11,-0.06483194,2.4071717,1,2,96.05778,536.0989,0.8443672,111.82187,2.4079585,-0.059936956,49.0,25.0,1.0,9.0,0.025787601,0.021740433,7.959321,0.004622707,0.0031267768,0.0007867813,0.0048949867486953735,0.004957814044646845,True
