event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,deta,dphi,deltar,matches
17009,-11,0.89540046,-2.5500512,1,2,18.670721,120.64099,0.29649916,28.69506,-2.5465848,0.89355904,51.0,23.0,1.0,9.0,0.031416632,0.021989128,12.333553,0.0051540453,0.0032758226,0.0034663677,0.001841425895690918,0.003925118457866155,True
17009,11,-2.2161343,2.5559678,2,2,18.670721,120.64099,0.025874427,29.110931,2.5624402,-2.212293,44.0,28.0,1.0,9.0,0.028286256,0.02978871,14.655311,0.0044854954,0.0029061555,0.006472349,0.003841400146484375,0.007526463925456523,True
17012,11,-0.3961862,-1.8057411,2,2,50.55975,155.64888,0.028670067,63.08628,-1.8063402,-0.3957092,39.0,18.0,1.0,9.0,0.0174209,0.016118042,8.481373,0.006138599,0.0036385083,-0.0005991459,0.00047701597213745117,0.0007658459599149347,True
17012,-11,2.7210279,1.7747972,1,2,50.55975,155.64888,0.9972888,62.312443,1.7791592,2.7334242,40.0,18.0,1.0,13.0,0.014794135,0.01495206,6.1826973,0.005384285,0.0028464885,0.004361987,0.01239633560180664,0.013141387577647554,True
17014,-11,1.0027475,-1.6861728,1,2,64.807236,183.27425,0.0,79.55131,-1.6877362,1.0009776,32.0,18.0,1.0,9.0,0.008623432,0.010250456,5.342797,0.0035556285,0.0024139266,-0.0015633106,0.0017699003219604492,0.0023614587011728913,True
17014,11,-2.117917,1.7138462,2,2,64.807236,183.27425,0.0068883053,78.39009,1.7149146,-2.1169014,40.0,22.0,1.0,11.0,0.012958501,0.012647066,7.587128,0.005119681,0.003204565,0.0010683537,0.0010156631469726562,0.001474093314229243,True
17015,-11,-2.7693596,2.1831918,1,2,74.544685,329.04666,0.53842145,90.554565,2.1835036,-2.7758145,38.0,16.0,1.0,9.0,0.018686475,0.010338841,7.1975045,0.00430653,0.0030561965,0.0003118515,0.006454944610595703,0.00646247331018275,True
17015,11,0.38348287,-2.1468992,2,2,74.544685,329.04666,0.24451661,96.67586,-2.146297,0.38366455,49.0,27.0,1.0,9.0,0.016680066,0.020679226,9.653568,0.004109973,0.0028266995,0.00060224533,0.00018167495727539062,0.0006290510540362523,True
17016,-11,0.70286554,-2.9733708,1,2,65.4735,647.51654,0.5251081,63.444607,-2.9531517,0.71783864,52.0,36.0,1.0,9.0,0.031012876,0.021462789,20.20361,0.003385054,0.0023883167,0.020219088,0.014973104000091553,0.025159597335919725,True
17016,11,-2.4331772,2.99087,2,2,65.4735,647.51654,0.46771163,31.65535,3.0047307,-2.4571242,51.0,7.0,1.0,11.0,0.007955627,0.02002938,16.05763,0.0007691795,4.9368085e-05,0.0138607025,0.02394700050354004,0.02766907847540553,True
