entry,subentry,event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem
2,0,43278,-11,3.0692697,2.4030743,1,2,42.27782,239.63794,0.37270546
5,0,43280,-11,0.7655418,2.8618112,1,2,26.398582,233.72516,0.75953454
5,1,43280,11,-2.3605258,-2.8798473,2,2,26.398582,233.72516,0.49189425
8,0,43281,-11,-2.0822065,2.6358006,1,2,39.348248,274.1227,0.99842423
8,1,43281,11,1.0726745,-2.62242,2,2,39.348248,274.1227,0.62885666
9,0,43289,-11,1.183938,2.5294547,1,2,33.602684,208.05888,0.30984896
9,1,43289,11,-1.9401828,-2.4905176,2,2,33.602684,208.05888,0.87655526
11,0,43277,-11,-2.076151,2.7903852,1,2,40.15792,324.9171,0.18222374
11,1,43277,11,1.0765911,-2.769846,2,2,40.15792,324.9171,0.5946155
12,0,43290,-11,1.2385505,-1.9984773,1,2,56.16557,213.34483,0.043441873
12,1,43290,11,-1.8856118,2.0216112,2,2,56.16557,213.34483,0.060440246
13,0,43296,-11,2.4702737,3.0578723,1,2,67.58969,724.3076,0.0075473394
16,0,43297,-11,0.64418375,1.5327768,1,2,11.535284,27.617743,0.6234664
16,1,43297,11,-2.3542895,-1.5078274,2,2,11.535284,27.617743,0.7027019
19,0,43301,-11,-1.814257,1.7432891,1,2,20.840494,61.116425,0.65548027
19,1,43301,11,1.3897853,-1.7342522,2,2,20.840494,61.116425,0.88517433
22,0,43288,-11,-0.89395344,2.0641553,1,2,95.77685,379.88336,0.5596242
22,1,43288,11,2.2573743,-2.0453622,2,2,95.77685,379.88336,0.9818578
24,1,43306,11,-2.7316003,1.4469054,2,2,20.674597,45.52196,0.9684675
25,0,43291,-11,1.6513233,-2.5303183,1,2,42.958042,265.53717,0.3651748
25,1,43291,11,-1.4765557,2.4863398,2,2,42.958042,265.53717,0.30391136
27,0,43305,-11,2.1034193,-1.5822618,1,2,39.17681,99.63842,0.9958665
27,1,43305,11,-0.9989633,1.5888815,2,2,39.17681,99.63842,0.18107164
29,0,43302,-11,1.8807466,-2.0328667,1,2,44.439327,175.5498,0.062421992
29,1,43302,11,-1.2397015,2.0685706,2,2,44.439327,175.5498,0.8261611
32,0,43279,-11,-1.0751208,-2.9989688,1,2,73.82633,741.52435,0.76132387
33,0,43307,-11,2.202736,-2.1586094,1,2,20.48884,89.403534,0.036527153
33,1,43307,11,-0.8976228,2.147623,2,2,20.48884,89.403534,0.8396149
35,0,43316,-11,0.5104551,-2.4075038,1,2,22.666132,123.65904,0.65084594
35,1,43316,11,-2.6016362,2.3558614,2,2,22.666132,123.65904,0.98371655
36,0,43319,-11,-0.4874122,-1.6892527,1,2,51.907974,147.27504,0.93046707
36,1,43319,11,2.680245,1.7177744,2,2,51.907974,147.27504,0.22792815
37,0,43299,-11,-1.9977924,2.1009197,1,2,85.84052,348.98682,0.92287934
37,1,43299,11,1.1544099,-2.059967,2,2,85.84052,348.98682,0.7234062
38,0,43322,-11,-2.1242566,-1.4895921,1,2,18.073154,42.174667,0.49138764
38,1,43322,11,1.1116185,1.4932907,2,2,18.073154,42.174667,0.42567307
41,0,43312,-11,2.0325816,2.0916557,1,2,75.09831,304.80627,0.5786006
41,1,43312,11,-1.0968487,-2.0655272,2,2,75.09831,304.80627,0.05680396
45,0,43292,-11,1.3225328,2.6478605,1,2,84.0205,591.17474,0.41415185
45,1,43292,11,-1.8129785,-2.6304398,2,2,84.0205,591.17474,0.96528685
49,0,43317,-11,-2.8665218,-2.2839086,1,2,74.5762,365.4562,0.7171985
49,1,43317,11,0.28512883,2.2600415,2,2,74.5762,365.4562,0.21439372
53,0,43320,-11,-0.5522745,1.9217485,1,2,79.18663,276.637,0.96977115
53,1,43320,11,2.602854,-1.9240714,2,2,79.18663,276.637,0.43620646
55,0,43331,-11,-1.0462623,1.8867935,1,2,29.847296,101.37911,0.672953
55,1,43331,11,2.132378,-1.9003887,2,2,29.847296,101.37911,0.18491367
58,0,43341,-11,-2.4278884,1.5383675,1,2,2.8391488,6.8838754,0.41803098
58,1,43341,11,1.286292,-1.5536114,2,2,2.8391488,6.8838754,0.88959193
60,0,43333,-11,1.7511283,-1.5472873,1,2,51.9551,129.5914,0.5782404
60,1,43333,11,-1.3602177,1.581773,2,2,51.9551,129.5914,0.95022273
62,0,43314,-11,-1.826113,2.6587594,1,2,79.64709,573.12494,0.055886663
62,1,43314,11,1.3217579,-2.6648176,2,2,79.64709,573.12494,0.7911857
63,0,43337,-11,1.6659055,2.2275567,1,2,40.364746,188.12407,0.0144709535
63,1,43337,11,-1.456172,-2.2136836,2,2,40.364746,188.12407,0.31325635
64,0,43348,-11,-1.0342935,3.006528,1,2,12.663184,128.68246,0.4791783
64,1,43348,11,2.1352072,-3.0122795,2,2,12.663184,128.68246,0.05977964
66,0,43342,-11,-1.8007607,-1.8364043,1,2,42.02499,135.85239,0.005704387
66,1,43342,11,1.3686311,1.8469311,2,2,42.02499,135.85239,0.9627207
67,0,43351,-11,2.1770067,1.8370533,1,2,4.205815,13.50916,0.09267204
67,1,43351,11,-0.68505585,-1.8389621,2,2,4.205815,13.50916,0.8639354
69,1,43344,11,-2.9838488,1.4780796,2,2,96.23705,217.27824,0.91922736
71,0,43338,-11,-1.9651653,1.7338119,1,2,83.866806,242.95767,0.30844674
71,1,43338,11,1.1921718,-1.7174643,2,2,83.866806,242.95767,0.50524944
74,0,43354,-11,2.4902885,-2.7347593,1,2,8.005505,63.002625,0.8812353
74,1,43354,11,-0.59393775,2.7701018,2,2,8.005505,63.002625,0.9447182
75,0,43357,-11,2.0309315,1.8018721,1,2,20.356194,62.461235,0.27672172
75,1,43357,11,-1.0498711,-1.7719444,2,2,20.356194,62.461235,0.6749767
76,0,43352,-11,1.5166118,1.5616834,1,2,43.744232,106.928986,0.66170883
76,1,43352,11,-1.5881894,-1.5233159,2,2,43.744232,106.928986,0.6187366
78,0,43363,-11,0.69831276,-2.0939512,1,2,5.9671097,24.455248,0.9792703
78,1,43363,11,-2.2920434,2.084938,2,2,5.9671097,24.455248,0.25805324
84,1,43315,11,-1.7001241,-2.9472837,2,2,73.83332,704.76483,0.44555458
85,0,43358,-11,-1.801944,-1.7653427,1,2,67.11416,199.56075,0.34501886
