event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,deta,dphi,deltar,matches
256,11,0.97588843,-2.7612023,2,2,63.824467,498.069,0.34315586,50.01397,-2.7600102,0.9464561,34,15,1,9,0.026887454,0.009642208,7.2752976,0.0034952099,0.0029142406,0.0011920929,0.029432356357574463,0.029456488015898535,True
256,-11,-2.1729152,2.7263503,1,2,63.824467,498.069,0.90258074,77.698074,2.723127,-2.162362,37,14,1,9,0.03073834,0.022790147,12.005999,0.0040356414,0.0031502466,-0.0032234192,0.010553121566772461,0.011034437279445322,True
257,-11,0.09276715,2.748394,1,2,91.61681,699.60297,0.60057414,89.57661,2.7405102,0.10580038,44,14,1,9,0.030665604,0.016038166,11.01295,0.0040497095,0.003473067,-0.007883787,0.01303323358297348,0.015232178908350656,True
257,11,-3.0436478,-2.6957788,2,2,91.61681,699.60297,0.98571676,115.52818,-2.6997628,-3.0395827,42,15,1,9,0.031347215,0.027541742,12.322723,0.0042867092,0.003524278,-0.0039839745,0.004065036773681641,0.00569179903161931,True
259,-11,0.16509078,2.499433,1,2,48.449562,296.40527,0.86044693,57.19138,2.4948213,0.16150182,38,14,1,9,0.025924519,0.0265542,7.682124,0.0043776343,0.0038510447,-0.0046117306,0.003588959574699402,0.005843688019868285,True
259,11,-2.9642386,-2.495791,2,2,48.449562,296.40527,0.70442927,57.073864,-2.4946377,-2.9692185,33,15,1,9,0.024903635,0.026240706,6.719086,0.0042125946,0.0033952333,0.0011532307,0.004979848861694336,0.005111637271955802,True
262,11,-0.4979298,2.8333051,2,2,50.406635,432.21,0.65502846,33.445473,2.828744,-0.46122837,40,13,1,9,0.030073807,0.005719621,11.44999,0.0036201864,0.002593088,-0.004561186,0.03670144081115723,0.03698378258440493,True
262,-11,2.6352658,-2.8437645,1,2,50.406635,432.21,0.33801332,47.79435,-2.8384058,2.6361234,51,15,1,11,0.032737587,0.009060139,22.117287,0.0037800965,0.0033106983,0.005358696,0.0008575916290283203,0.005426885399601543,True
265,11,-0.8406036,1.9500858,2,2,72.76811,256.1558,0.72746456,76.155426,1.9489135,-0.83410376,33,15,1,9,0.015669055,0.02517185,8.554833,0.0047533317,0.0037653637,-0.0011723042,0.006499826908111572,0.006604698843001556,True
265,-11,2.286408,-1.9120212,1,2,72.76811,256.1558,0.23934492,88.31944,-1.912286,2.2851615,33,15,1,11,0.015290625,0.01621182,9.713063,0.004765974,0.0032230609,-0.00026488304,0.0012464523315429688,0.0012742866398187632,True
267,-11,-2.6636822,1.9107238,1,2,92.80789,318.75674,0.9761709,100.97525,1.910282,-2.6655426,35,16,1,15,0.012755714,0.014133651,7.2174163,0.004012603,0.003346113,-0.00044178963,0.0018603801727294922,0.001912117271946534,True
267,11,0.48965836,-1.8996094,2,2,92.80789,318.75674,0.1494046,109.19377,-1.8988466,0.4896332,34,13,1,9,0.014245858,0.009942474,6.271796,0.004662193,0.003411095,0.00076282024,2.5153160095214844e-05,0.0007632348207839413,True
268,-11,1.5330302,-2.464992,1,2,34.851818,208.84703,0.41165268,43.230545,-2.4668221,1.5312252,52,15,1,7,0.026499044,0.023373418,17.028135,0.004449323,0.002773827,-0.001830101,0.001804947853088379,0.0025704292386338834,True
269,11,-0.769111,2.432709,2,2,91.0522,521.55975,0.9562871,106.10551,2.4303718,-0.77280086,46,15,1,11,0.02387367,0.02144511,10.79615,0.004357882,0.003420614,-0.0023372173,0.003689885139465332,0.004367818349887672,True
269,-11,2.365478,-2.4289594,1,2,91.0522,521.55975,0.63445485,106.43577,-2.4289358,2.3650477,40,14,1,9,0.025385382,0.02837352,7.57028,0.004634911,0.0036088936,2.360344e-05,0.0004303455352783203,0.00043099234573509403,True
271,-11,0.8169121,2.1105433,1,2,63.564415,269.79974,0.04064827,71.70383,2.1109645,0.81500924,27,14,1,11,0.014729072,0.01619259,6.045417,0.0037416047,0.0032480538,0.00042128563,0.0019028782844543457,0.0019489554502038796,True
271,11,-2.3110282,-2.1388874,2,2,63.564415,269.79974,0.45344785,70.48163,-2.1365552,-2.3097477,33,14,1,9,0.016095128,0.015874775,5.775042,0.0039254953,0.003577453,0.0023322105,0.0012805461883544922,0.00266063983275098,True
273,11,-0.14687836,2.3039882,2,2,67.730804,336.84235,0.024828508,77.09927,2.3027232,-0.15233982,29,15,1,11,0.020928921,0.017926784,6.0066266,0.00420472,0.003252185,-0.001265049,0.005461454391479492,0.005606053245716933,True
273,-11,2.9838521,-2.2702367,1,2,67.730804,336.84235,0.3367464,73.20993,-2.2649152,2.9781203,37,15,1,9,0.022685664,0.019152185,7.8752794,0.0049707126,0.003636937,0.0053215027,0.005731821060180664,0.007821263548699353,True
279,11,-0.2499511,2.584853,2,2,40.35665,269.76297,0.64031523,48.83678,2.5844204,-0.24619426,52,14,1,9,0.027758293,0.026605213,14.000194,0.004280372,0.0035727841,-0.0004324913,0.0037568360567092896,0.003781648566924312,True
279,-11,2.8782094,-2.5897522,1,2,40.35665,269.76297,0.6087842,48.195496,-2.5947852,2.88656,36,15,1,9,0.028331906,0.024154805,10.576465,0.004244156,0.0032927652,-0.005033016,0.008350610733032227,0.009750074435889237,True
280,-11,1.8274964,2.6955535,1,2,65.27208,481.56287,0.97709435,59.24935,2.6921659,1.8271096,34,13,1,9,0.022868607,0.004793534,5.2359433,0.0031479734,0.0029378978,-0.0033876896,0.00038683414459228516,0.003409703998861207,True
282,11,-1.9563023,2.0412896,2,2,77.238525,304.95505,0.23990597,95.39339,2.0418763,-1.9552826,36,15,1,9,0.016477183,0.015077015,6.2122073,0.004469037,0.0034247735,0.0005867481,0.0010197162628173828,0.001176475506203393,True
282,-11,1.1730906,-2.0587573,1,2,77.238525,304.95505,0.52044463,93.08196,-2.0552366,1.1749034,34,14,1,9,0.02014992,0.02280742,13.693936,0.005534564,0.0030967293,0.0035207272,0.0018128156661987305,0.003960027815683043,True
283,11,-0.048733037,2.3480701,2,2,91.91387,491.31876,0.9647342,108.74032,2.3493385,-0.04979195,38,15,1,11,0.02119106,0.020406999,8.149501,0.004197006,0.0034704763,0.0012683868,0.001058913767337799,0.001652302497917274,True
283,-11,3.085419,-2.3731437,1,2,91.91387,491.31876,0.71856135,112.70048,-2.3716571,3.0888066,32,16,1,9,0.023118684,0.022406816,6.3575287,0.0044462197,0.003404686,0.0014865398,0.0033876895904541016,0.003699492046539743,True
284,11,-0.5120865,2.768064,2,2,59.638218,484.30066,0.19634664,55.752865,2.7435002,-0.51352733,39,14,1,11,0.03134342,0.032233816,11.807187,0.0041926554,0.0026858088,-0.02456379,0.0014408230781555176,0.024606009653266314,True
284,-11,2.6220105,-2.7996833,1,2,59.638218,484.30066,0.06587445,43.476166,-2.8074944,2.6415248,27,14,1,11,0.034486823,0.0039821607,5.522687,0.004238771,0.004111302,-0.0078110695,0.01951432228088379,0.021019552379353504,True
288,11,2.6703322,-1.9281164,2,2,57.907707,206.4701,0.9216945,68.788666,-1.9286921,2.6705282,33,14,1,11,0.014037741,0.013408521,6.9468927,0.004291643,0.0033591217,-0.00057566166,0.00019598007202148438,0.0006081073263318518,True
292,-11,-1.0002443,2.5711522,1,2,64.4947,439.05237,0.10089726,79.622925,2.5767443,-1.0019764,39,16,1,9,0.02984171,0.030365944,8.198836,0.00464955,0.0038578438,0.005592108,0.0017321109771728516,0.005854218797014089,True
292,11,2.1495647,-2.6416237,2,2,64.4947,439.05237,0.46049404,76.482,-2.6410155,2.1474795,27,14,1,11,0.026173815,0.029965833,5.708094,0.0037767168,0.0035921226,0.0006082058,0.0020852088928222656,0.0021720981598737825,True
293,-11,-2.7261586,-1.6120596,1,2,29.682362,76.837616,0.81755894,26.267931,-1.6112345,-2.704456,25,13,1,11,0.0076632663,0.007897115,4.577294,0.003425796,0.0030748912,0.0008250475,0.02170252799987793,0.021718204919766018,True
293,11,0.46609163,1.5976084,2,2,29.682362,76.837616,0.7724591,23.59428,1.5972464,0.44693536,21,11,3,7,0.0077695465,0.013492501,4.6551943,0.003556308,0.0029889175,-0.0003620386,0.019156277179718018,0.019159697997177018,True
294,11,1.274764,1.5844681,2,2,51.06385,127.64943,0.92194414,54.102947,1.5853136,1.2666817,25,13,1,9,0.008368884,0.011425648,5.048297,0.0039010243,0.0034060162,0.0008454323,0.008082270622253418,0.008126367832797937,True
294,-11,-1.8975066,-1.5494177,1,2,51.06385,127.64943,0.9054234,42.24728,-1.5511912,-1.9000026,35,13,1,7,0.0075063095,0.01842593,5.686786,0.0036382698,0.0032091003,-0.0017734766,0.002496004104614258,0.0030619039571432587,True
295,-11,2.4926615,2.3866937,1,2,32.847202,183.33757,0.43400845,40.611782,2.394616,2.4940827,33,12,1,9,0.028163416,0.02578986,8.793608,0.0051343553,0.0038842494,0.007922173,0.001421213150024414,0.008048643597714527,True
300,-11,2.067554,1.9083933,1,2,92.623116,321.9396,0.054058168,109.343445,1.9108515,2.06887,27,14,1,9,0.0136721255,0.013742931,5.650981,0.0042804386,0.0035158908,0.0024582148,0.001316070556640625,0.002788343843142075,True
300,11,-1.0623887,-1.9269257,2,2,92.623116,321.9396,0.437246,103.37154,-1.9261923,-1.0630441,30,14,1,9,0.010883561,0.011872029,6.035591,0.0033819154,0.003144502,0.00073337555,0.0006554126739501953,0.0009835677249227354,True
302,11,0.06970286,-1.7253363,2,2,40.743786,117.710014,0.06635767,44.678844,-1.7243972,0.06997272,52,13,1,11,0.010046955,0.015957614,31.252869,0.003948103,0.0035235356,0.0009391308,0.00026986002922058105,0.0009771341070197927,True
303,-11,-0.68122774,2.512781,1,2,14.519514,90.81126,0.6430793,12.880186,2.5273566,-0.65648824,47,12,1,47,0.04614459,0.02199266,56.46176,0.007379386,0.0046929163,0.01457572,0.024739503860473633,0.02871401494757553,True
303,11,2.500375,-2.527374,2,2,14.519514,90.81126,0.08634941,15.871004,-2.5175836,2.5104609,44,11,1,7,0.031973243,0.021495758,22.231201,0.005372278,0.0028716007,0.0097904205,0.010085821151733398,0.014056177249331251,True
305,-11,-1.7083249,2.9394798,1,2,30.57199,296.57074,0.8611361,23.892405,2.924674,-1.6978754,38,11,1,9,0.03478194,0.00461563,9.57902,0.0038072532,0.0036160639,-0.014805794,0.010449528694152832,0.018121925538567774,True
307,11,0.68063384,-2.4770126,2,2,16.304281,100.285805,0.4199445,20.781492,-2.4789116,0.6825636,29,10,3,7,0.03413636,0.019916289,7.683022,0.0058199395,0.0037030897,-0.001899004,0.0019297599792480469,0.002707432297654323,True
307,-11,-2.4971786,2.5299647,1,2,16.304281,100.285805,0.060671188,16.73052,2.5439444,-2.488212,21,11,1,11,0.04287669,0.021637559,5.060295,0.0065542515,0.004779276,0.013979673,0.008966445922851562,0.016608082778514298,True
