event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,cl3d_bdteg,cl3d_quality,deta,dphi,deltar,matches
6,-211,-1.6420444,-1.8661853,1,2,8.201076,27.033916,-1.0,4.2586727,-1.8729026,-1.6369171,11,6,9,13,0.010893175,0.013100412,3.669485,0.0035937394,0.0029570274,-0.15712026,0,-0.0067173243,0.005127310752868652,0.008450547892970407,True
6,211,1.3602672,1.8596137,2,2,8.201076,27.033916,-1.0,2.3396075,1.8606696,1.3474234,3,3,32,33,0.013710142,0.010489416,3.2915628,0.0045575844,0.004134678,-0.7285904,0,0.0010559559,0.012843728065490723,0.012887063024536833,True
8,211,2.1437995,2.7542214,2,2,82.653244,655.7478,-1.0,64.741455,2.7541194,2.1441765,46,5,3,44,0.023241324,0.022608383,22.79739,0.0029546793,0.0028593992,-0.5316271,0,-0.00010204315,0.0003769397735595703,0.00039050787153620655,True
8,-211,-0.9923241,-2.7663665,1,2,82.653244,655.7478,-1.0,68.96941,-2.7704973,-0.99130094,9,9,33,36,0.024935937,0.02471607,8.408732,0.0031540769,0.003086134,-0.52079177,0,-0.0041308403,0.0010231733322143555,0.004255669751871086,True
12,-211,1.2155102,-1.7669673,1,2,77.218575,231.89604,-1.0,31.803957,-1.7686858,1.2165751,42,10,1,17,0.012764082,0.01398081,22.136316,0.004748799,0.004132072,-0.31604403,0,-0.0017185211,0.001064896583557129,0.0020217120386562238,True
12,211,-1.9424641,1.7607591,2,2,77.218575,231.89604,-1.0,63.325047,1.7609859,-1.9441895,24,11,11,29,0.009341049,0.010955388,7.3200617,0.0035056225,0.0029491773,-0.53024673,0,0.00022673607,0.0017254352569580078,0.0017402689650783524,True
16,211,1.2822757,-1.8107082,2,2,24.830982,77.435684,-1.0,12.985745,-1.8095312,1.2784545,13,8,19,25,0.008769797,0.011962655,5.8677316,0.003104604,0.002896103,-0.600897,0,0.0011769533,0.003821134567260742,0.003998285691933903,True
16,-211,-1.8103721,1.7970215,1,2,24.830982,77.435684,-1.0,6.8902245,1.7941757,-1.8015044,7,5,37,37,0.011318114,0.012188199,10.509764,0.0041006343,0.0022891997,-0.6806238,0,-0.0028457642,0.008867740631103516,0.009313173334355695,True
18,211,0.4665992,1.6270097,2,2,80.97799,209.89801,-1.0,47.747765,1.6260242,0.46488068,29,9,9,34,0.007408494,0.008473439,20.532124,0.0032718517,0.0030982872,-0.60237867,0,-0.0009855032,0.0017185211181640625,0.0019810430005689095,True
18,-211,-2.656436,-1.5857745,1,2,80.97799,209.89801,-1.0,52.53057,-1.5884342,-2.6595478,29,19,9,32,0.008237506,0.009798685,18.499418,0.0038151718,0.0033681523,-0.6113109,0,-0.0026596785,0.0031118392944335938,0.004093584433440122,True
21,211,-0.18129484,1.6417288,2,2,72.80331,197.60942,-1.0,35.918438,1.6428949,-0.17886832,30,16,5,29,0.010005702,0.011705346,10.260177,0.0043039727,0.0034634757,-0.5276207,0,0.0011661053,0.002426519989967346,0.0026921739740382892,True
21,-211,2.9798424,-1.670299,1,2,72.80331,197.60942,-1.0,38.387764,-1.6703019,2.9805944,12,8,21,29,0.011339337,0.010827206,5.9268546,0.004743015,0.0044119637,-0.6946279,0,-2.861023e-06,0.0007519721984863281,0.0007519776411228446,True
27,-211,2.5524845,-2.0789247,1,2,72.32877,293.17853,-1.0,38.516567,-2.0783641,2.5573297,33,16,13,23,0.01602861,0.013692637,29.817766,0.0042122765,0.003714962,-0.5036094,0,0.0005605221,0.004845142364501953,0.004877457281603033,True
27,211,-0.6017592,2.075354,2,2,72.32877,293.17853,-1.0,30.463371,2.076322,-0.60876167,28,18,9,32,0.018197889,0.016292095,15.388738,0.0048034745,0.003973465,-0.7600511,0,0.00096797943,0.007002472877502441,0.007069060091645235,True
28,211,-0.2858659,-2.9580815,2,2,64.42545,615.7253,-1.0,32.803196,-2.9503431,-0.28643027,37,8,11,40,0.023833068,0.031172464,19.695576,0.0025467502,0.0024498422,-0.55581987,0,0.007738352,0.0005643665790557861,0.007758904406468157,True
