event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,deta,dphi,deltar,matches
51006,-211,1.5347469,-1.6666658,1,2,27.736185,77.81682,-1.0,22.05345,-1.6640611,1.5406743,39.0,10.0,7.0,42.0,0.025915386,0.021179298,18.927881,0.011187027,0.00091092224,0.002604723,0.005927443504333496,0.006474501388175808,True
51006,211,-1.6561922,1.7170422,2,2,27.736185,77.81682,-1.0,20.9326,1.7217035,-1.6617175,41.0,22.0,1.0,29.0,0.037411418,0.024258643,20.886301,0.014013687,0.0033500863,0.0046613216,0.005525350570678711,0.007228929263986817,True
51008,211,-1.9018179,-1.6524899,2,2,87.859604,234.67436,-1.0,66.382065,-1.6503787,-1.9026397,52.0,11.0,1.0,40.0,0.014520215,0.015969174,46.706234,0.0062255776,0.0023575013,0.0021111965,0.0008218288421630859,0.002265513921022775,True
51012,-211,1.557199,2.5064316,1,2,92.34236,564.105,-1.0,43.991276,2.5024297,1.5345477,39.0,25.0,1.0,17.0,0.029811611,0.01664025,16.077812,0.0050216443,0.0035410195,-0.004001856,0.022651314735412598,0.023002106630302676,True
51013,211,-0.8306992,1.8321289,2,2,97.562386,318.74207,-1.0,77.85135,1.8324401,-0.8275001,43.0,21.0,3.0,19.0,0.021938413,0.02229454,19.582737,0.007436096,0.003923088,0.00031125546,0.0031991004943847656,0.003214206578838819,True
51013,-211,2.322732,-1.8738761,1,2,97.562386,318.74207,-1.0,63.091133,-1.8709238,2.3259766,50.0,16.0,3.0,29.0,0.019241828,0.024642698,45.247677,0.006361529,0.0035624602,0.0029523373,0.003244638442993164,0.004386795401577313,True
51015,-211,-1.2831726,2.3257198,1,2,34.901047,177.63231,-1.0,19.399872,2.3322375,-1.279623,46.0,18.0,3.0,25.0,0.040692445,0.034392953,38.227116,0.008295437,0.0031008455,0.0065176487,0.0035495758056640625,0.007421538382977763,True
51020,-211,-0.40055594,2.2931454,1,2,51.933506,255.55225,-1.0,49.292175,2.293332,-0.40010068,51.0,14.0,1.0,9.0,0.028265044,0.02575639,19.862284,0.0058011874,0.003984565,0.00018668175,0.0004552602767944336,0.0004920487724330773,True
51020,211,2.726706,-2.2594168,2,2,51.933506,255.55225,-1.0,41.14854,-2.2511177,2.723656,43.0,17.0,3.0,33.0,0.030308278,0.017518418,25.596245,0.0068491334,0.0029336838,0.008299112,0.003050088882446289,0.008841849620106599,True
51024,211,0.3976412,1.7029821,2,2,87.49294,250.65353,-1.0,64.81727,1.7048159,0.39769906,47.0,24.0,1.0,9.0,0.015852908,0.017008297,25.805912,0.0063348706,0.0035018465,0.0018337965,5.78463077545166e-05,0.0018347086386604865,True
51030,-211,0.4127457,2.7263057,1,2,88.99077,690.65314,-1.0,73.02054,2.7202456,0.41108903,48.0,29.0,1.0,29.0,0.038165126,0.027034624,28.226063,0.0052406997,0.0028519528,-0.0060601234,0.0016566812992095947,0.006282490801463974,True
51030,211,-2.7340822,-2.7499914,2,2,88.99077,690.65314,-1.0,63.15914,-2.7467775,-2.725122,48.0,18.0,1.0,29.0,0.025270771,0.014913227,18.01949,0.0032502362,0.002941113,0.0032138824,0.008960247039794922,0.009519194681942303,True
51031,-211,1.3169527,2.450428,1,2,27.376131,159.92241,-1.0,29.665012,2.4442122,1.3148531,32.0,14.0,1.0,21.0,0.021669304,0.01853842,7.8428264,0.003888016,0.0029788262,-0.006215811,0.00209963321685791,0.006560850728298105,True
51031,211,-1.8473366,-2.451128,2,2,27.376131,159.92241,-1.0,19.832037,-2.4481084,-1.8498658,38.0,20.0,1.0,7.0,0.030231133,0.027685128,17.512884,0.005377732,0.003969304,0.0030195713,0.002529144287109375,0.00393882998237486,True
51032,211,-1.605729,2.6800423,2,2,49.74007,369.21155,-1.0,38.172844,2.6936169,-1.6073917,38.0,25.0,3.0,29.0,0.04236169,0.029869555,20.13973,0.005675894,0.0035461446,0.0135746,0.0016627311706542969,0.013676053613279199,True
51032,-211,1.5456674,-2.7064195,1,2,49.74007,369.21155,-1.0,45.479607,-2.6961627,1.5509111,42.0,20.0,3.0,42.0,0.03384604,0.028066324,30.153622,0.004502554,0.00291612,0.010256767,0.005243659019470215,0.011519428540271378,True
51033,211,3.0191748,-2.5717096,2,2,40.755527,264.11166,-1.0,20.636978,-2.5667894,3.0400653,44.0,18.0,3.0,15.0,0.02688376,0.017531224,29.235788,0.0042909156,0.0028026658,0.004920244,0.020890474319458008,0.021462076319276942,True
51033,-211,-0.108695835,2.5404015,1,2,40.755527,264.11166,-1.0,30.324194,2.5467312,-0.1035118,49.0,26.0,1.0,33.0,0.038007192,0.03324756,34.702698,0.006180845,0.0029665781,0.006329775,0.0051840320229530334,0.008181701421326685,True
51034,211,-0.37333423,2.1100018,2,2,14.833127,61.396,-1.0,8.054928,2.0981982,-0.38711005,38.0,7.0,3.0,32.0,0.028055105,0.020835532,22.430973,0.0073151966,0.0031048914,-0.011803627,0.013775825500488281,0.018141085358925467,True
51035,211,2.9136891,2.9755445,2,2,62.571945,613.3345,-1.0,32.96371,2.9564562,2.912309,52.0,10.0,1.0,49.0,0.032506697,0.027537245,48.691513,0.003399601,0.0022152977,-0.019088268,0.0013802051544189453,0.019138102479692148,True
51035,-211,-0.22203109,-2.970721,1,2,62.571945,613.3345,-1.0,26.484547,-2.9613996,-0.2432173,33.0,18.0,3.0,15.0,0.043681342,0.008613272,12.056271,0.004757008,0.0027964013,0.009321451,0.021186217665672302,0.02314617178770683,True
51036,-211,0.78194565,2.4069595,1,2,18.185505,102.75343,-1.0,23.279005,2.4238834,0.7909175,35.0,19.0,1.0,29.0,0.03783675,0.03721305,14.244885,0.006883079,0.0030226856,0.016923904,0.008971869945526123,0.019154972917314522,True
51037,211,-0.7597326,1.5473124,2,2,85.662346,208.02065,-1.0,80.25479,1.5457919,-0.7599744,41.0,15.0,7.0,35.0,0.013859487,0.013169045,16.829027,0.006761507,0.0029646466,-0.0015205145,0.00024181604385375977,0.0015396231381181072,True
51037,-211,2.4007921,-1.5228956,1,2,85.662346,208.02065,-1.0,69.46278,-1.5237591,2.4020963,44.0,29.0,3.0,19.0,0.012867748,0.013084056,27.358566,0.0064452444,0.0035018227,-0.0008635521,0.0013041496276855469,0.0015641382514313441,True
51042,211,1.9535916,2.8662617,2,2,94.46546,826.64014,-1.0,63.553123,2.8731158,1.9494584,43.0,29.0,1.0,29.0,0.041097727,0.033082254,19.794872,0.0046755113,0.0040270453,0.0068540573,0.0041332244873046875,0.008003851909505928,True
51042,-211,-1.183641,-2.8517964,1,2,94.46546,826.64014,-1.0,43.838882,-2.864835,-1.166557,39.0,12.0,3.0,29.0,0.030452345,0.028990341,13.971768,0.0032672465,0.0025656107,-0.013038635,0.01708400249481201,0.0214911412104418,True
51046,211,0.5217906,1.9733667,2,2,59.28051,217.41179,-1.0,46.838577,1.9729503,0.5190998,41.0,14.0,1.0,9.0,0.019028476,0.02319428,14.887739,0.0055719996,0.003713446,-0.00041639805,0.0026908516883850098,0.0027228790174366026,True
51046,-211,-2.6026516,-1.9737221,1,2,59.28051,217.41179,-1.0,51.33132,-1.9695524,-2.5972137,47.0,14.0,1.0,36.0,0.023779068,0.025656948,25.898952,0.007172591,0.0026137112,0.0041697025,0.0054378509521484375,0.0068524916715639265,True
51047,-211,0.37546903,1.6007694,1,2,6.842212,17.81644,-1.0,7.706898,1.6083957,0.3684014,40.0,8.0,1.0,5.0,0.011677328,0.028876677,33.180443,0.0052366727,0.0016907081,0.007626295,0.007067620754241943,0.010397674799141542,True
51047,211,-2.9843612,-1.6251851,2,2,6.842212,17.81644,-1.0,4.2115626,-1.6075019,-2.9878118,34.0,8.0,3.0,35.0,0.024814857,0.030342136,26.83093,0.011223767,0.0023730197,0.017683268,0.003450632095336914,0.018016792698125176,True
51050,-211,0.93968004,-2.938094,1,2,25.02437,244.21411,-1.0,13.078521,-2.925251,0.9678445,38.0,17.0,1.0,9.0,0.035539392,0.035271704,13.911409,0.0039313384,0.003325679,0.012842894,0.028164446353912354,0.030954417430976235,True
51057,211,-2.8791876,2.5368261,2,2,18.839296,117.761505,-1.0,28.111576,2.536369,-2.8838904,31.0,18.0,3.0,21.0,0.028644212,0.024823915,11.499438,0.004460893,0.0027443091,-0.00045704842,0.00470280647277832,0.004724963700929314,True
51057,-211,0.2932728,-2.5023656,1,2,18.839296,117.761505,-1.0,16.961794,-2.5063968,0.30251634,39.0,8.0,3.0,36.0,0.023451244,0.024557095,20.798044,0.0039235814,0.0026087798,-0.0040311813,0.009243547916412354,0.010084324475778762,True
51064,-211,0.6665065,-2.6664796,1,2,16.061195,116.79665,-1.0,8.421596,-2.6597147,0.6508625,38.0,20.0,3.0,29.0,0.033553828,0.016660146,18.296227,0.0048672073,0.0030186228,0.0067648888,0.01564401388168335,0.017044028042204926,True
51066,211,-2.902767,2.5510435,2,2,56.871296,370.5549,-1.0,42.876656,2.5610678,-2.9037285,50.0,6.0,3.0,46.0,0.025463883,0.01902447,34.070614,0.0040025506,0.0031754903,0.010024309,0.0009615421295166016,0.010070319600535374,True
51066,-211,0.24863346,-2.5719101,1,2,56.871296,370.5549,-1.0,44.57617,-2.5666103,0.24508628,44.0,13.0,3.0,35.0,0.026553914,0.02340062,20.42301,0.0041854247,0.0024404726,0.0052998066,0.003547176718711853,0.006377335886910488,True
51068,211,-2.312065,1.6179669,2,2,16.924166,43.46083,-1.0,11.549585,1.6200373,-2.3095143,29.0,13.0,1.0,7.0,0.014833576,0.015162936,7.5419,0.006600033,0.003939623,0.002070427,0.0025506019592285156,0.0032851541930477603,True
51072,211,0.54370147,-2.6269748,2,2,40.428528,276.89813,-1.0,29.580334,-2.631165,0.52975124,38.0,16.0,3.0,29.0,0.033413082,0.032009456,21.40765,0.004827382,0.0031245872,-0.0041902065,0.013950228691101074,0.014565943571617118,True
51072,-211,-2.584799,2.5970476,1,2,40.428528,276.89813,-1.0,30.041533,2.6014535,-2.5854032,40.0,21.0,1.0,17.0,0.03438858,0.030954609,16.838291,0.00516074,0.0039778072,0.0044059753,0.0006041526794433594,0.004447203522732086,True
51075,-211,2.480742,-1.867035,1,2,75.337364,247.96927,-1.0,68.82289,-1.8630334,2.4820988,47.0,20.0,1.0,32.0,0.018775702,0.016857829,25.803375,0.0064371265,0.0031545516,0.0040016174,0.0013568401336669922,0.004225394326869337,True
51075,211,-0.67604077,1.8541453,2,2,75.337364,247.96927,-1.0,59.9952,1.8539149,-0.67567766,39.0,20.0,1.0,9.0,0.017202219,0.018746179,14.528744,0.0058868243,0.0041312943,-0.00023043156,0.0003631114959716797,0.0004300565786390688,True
51077,211,1.8300282,-1.9720505,2,2,80.585175,293.86304,-1.0,67.50804,-1.9710399,1.8282441,48.0,10.0,1.0,39.0,0.013978447,0.015576215,17.490953,0.004147317,0.002974291,0.0010106564,0.0017840862274169922,0.0020504608949158524,True
