entry,subentry,event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem
22,0,68526,-211,-0.23263568,-1.6036851,1,2,7.8397665,20.37919,-1.0
22,1,68526,211,2.7181046,1.6175891,2,2,7.8397665,20.37919,-1.0
25,0,68522,-211,-0.8510201,-1.8656915,1,2,10.186108,33.631626,-1.0
25,1,68522,211,2.1786041,1.8629453,2,2,10.186108,33.631626,-1.0
34,0,68523,-211,-1.7754233,2.902399,1,2,13.439787,122.05357,-1.0
34,1,68523,211,1.3365277,-2.890393,2,2,13.439787,122.05357,-1.0
43,0,68546,-211,0.74425554,-2.1657329,1,2,35.516262,154.74435,-1.0
43,1,68546,211,-2.4211695,2.137515,2,2,35.516262,154.74435,-1.0
44,0,68538,-211,-2.2992852,-1.6180786,1,2,86.530075,227.30406,-1.0
44,1,68538,211,0.8252237,1.623092,2,2,86.530075,227.30406,-1.0
45,0,68512,-211,-0.19019544,1.9660386,1,2,62.81742,227.37798,-1.0
47,0,68539,-211,-2.5983207,-2.7237303,1,2,38.117878,287.10648,-1.0
55,0,68567,-211,2.3885074,-3.0519068,1,2,72.95156,782.6096,-1.0
55,1,68567,211,-0.757718,3.0758524,2,2,72.95156,782.6096,-1.0
56,0,68558,-211,-1.8855668,-2.7749312,1,2,9.934421,80.43833,-1.0
56,1,68558,211,1.2112228,2.7868671,2,2,9.934421,80.43833,-1.0
61,0,68562,-211,-1.2026,1.8166568,1,2,25.891747,84.42813,-1.0
61,1,68562,211,1.8943115,-1.8863686,2,2,25.891747,84.42813,-1.0
69,0,68541,-211,-1.0395141,-2.9537122,1,2,41.100544,387.6095,-1.0
69,1,68541,211,2.0927553,2.9152734,2,2,41.100544,387.6095,-1.0
73,0,68551,-211,1.8641704,2.0233576,1,2,73.88678,281.25772,-1.0
73,1,68551,211,-1.2906697,-2.0011277,2,2,73.88678,281.25772,-1.0
80,0,68555,-211,1.3456444,2.2217367,1,2,52.73791,244.11646,-1.0
80,1,68555,211,-1.8110439,-2.2055125,2,2,52.73791,244.11646,-1.0
82,0,68549,-211,-1.2946049,-1.9858274,1,2,81.96034,302.4069,-1.0
82,1,68549,211,1.8346753,1.9738123,2,2,81.96034,302.4069,-1.0
83,0,68576,-211,1.0647101,1.701865,1,2,39.637463,112.9226,-1.0
83,1,68576,211,-2.1108136,-1.7137532,2,2,39.637463,112.9226,-1.0
85,0,68563,-211,-2.9610775,-2.6708767,1,2,40.28372,297.57108,-1.0
85,1,68563,211,0.1683898,2.70593,2,2,40.28372,297.57108,-1.0
88,0,68568,-211,1.29538,1.9915448,1,2,76.854034,291.61343,-1.0
88,1,68568,211,-1.858979,-2.0264728,2,2,76.854034,291.61343,-1.0
91,0,68590,-211,-2.8121321,1.74898,1,2,55.92831,168.71802,-1.0
91,1,68590,211,0.3068954,-1.7887797,2,2,55.92831,168.71802,-1.0
92,0,68594,-211,0.6337192,2.051047,1,2,48.907967,191.3445,-1.0
92,1,68594,211,-2.527269,-2.030171,2,2,48.907967,191.3445,-1.0
97,0,68607,-211,1.4522693,1.6546777,1,2,28.408413,75.77649,-1.0
97,1,68607,211,-1.74044,-1.6200935,2,2,28.408413,75.77649,-1.0
