event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,deta,dphi,deltar,matches
52262,-211,-1.1207571,1.7243862,1,2,51.610737,149.6675,-1.0,63.828003,1.722059,-1.1185868,44,30,1,29,0.023664303,0.021168731,20.634974,0.009508743,0.0033692962,-0.0023272038,0.0021703243255615234,0.0031821667018142766,True
52269,211,-1.17276,2.0163755,2,2,79.64233,305.726,-1.0,66.80361,2.0099926,-1.1723796,50,36,1,29,0.03560087,0.026711755,31.841208,0.010274623,0.0037300754,-0.006382942,0.00038039684295654297,0.006394267117773344,True
52270,211,2.8278236,-2.7942934,2,2,92.89701,768.48846,-1.0,88.55557,-2.7927105,2.8332808,52,38,1,29,0.04925953,0.023260836,23.162611,0.0056326753,0.0028162296,0.001582861,0.005457162857055664,0.0056820836994918465,True
52270,-211,-0.30911678,2.8105922,1,2,92.89701,768.48846,-1.0,81.533325,2.807299,-0.31290448,52,38,1,32,0.04453731,0.038915124,24.113966,0.005340254,0.0035479916,-0.0032932758,0.003787696361541748,0.005019194142311876,True
52271,211,-3.0269659,2.6917365,2,2,65.65742,500.03183,-1.0,55.593376,2.7005537,-3.0225806,52,38,1,35,0.044284977,0.019928206,26.397823,0.00590999,0.0029408676,0.008817196,0.004385232925415039,0.009847497794137917,True
52272,-211,-1.1479789,-1.7038621,1,2,82.26967,232.82196,-1.0,54.101032,-1.70784,-1.1483381,51,35,1,38,0.024051879,0.024879653,35.111515,0.009457385,0.0024981934,-0.003977895,0.0003591775894165039,0.003994077572942188,True
52272,211,1.9771347,1.6974334,2,2,82.26967,232.82196,-1.0,82.49891,1.6988955,1.9790164,46,29,1,31,0.024713749,0.023090016,20.754791,0.009830889,0.0035157776,0.0014621019,0.001881718635559082,0.0023829828118242117,True
52273,211,1.9438692,-1.8475189,2,2,18.5472,60.229683,-1.0,21.30572,-1.8388407,1.9528131,41,24,1,31,0.028879985,0.027458038,12.8512125,0.00969172,0.00488626,0.008678198,0.008943915367126465,0.012462132174241077,True
52273,-211,-1.1350935,1.8455827,1,2,18.5472,60.229683,-1.0,18.56131,1.8498353,-1.1301717,43,24,1,31,0.014518577,0.019852785,15.290626,0.0049121333,0.0028844099,0.004252553,0.0049217939376831055,0.006504480200457828,True
52280,-211,1.1169981,2.8083835,1,2,23.475405,193.82312,-1.0,37.011185,2.8239682,1.1269877,52,38,1,7,0.061883006,0.05175609,34.98814,0.0069949045,0.004117183,0.015584707,0.009989619255065918,0.01851149911689513,True
