event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,deta,dphi,deltar,matches
52262,-211,-1.1207571,1.7243862,1,2,51.610737,149.6675,-1.0,64.02823,1.7236798,-1.1154441,44.0,30.0,1.0,29.0,0.023462951,0.022926591,20.19364,0.00938925,0.0033651674,-0.00070643425,0.0053130388259887695,0.005359797656242698,True
52269,211,-1.17276,2.0163755,2,2,79.64233,305.726,-1.0,66.9404,2.0085464,-1.1693051,50.0,36.0,1.0,29.0,0.03543259,0.029902136,31.179924,0.010243132,0.0036593727,-0.007829189,0.003454923629760742,0.008557610667982087,True
52270,211,2.8278236,-2.7942934,2,2,92.89701,768.48846,-1.0,87.27424,-2.7894528,2.83285,52.0,38.0,1.0,29.0,0.04312844,0.02291821,22.803953,0.004954403,0.0028125653,0.0048406124,0.005026340484619141,0.006978225213393184,True
52270,-211,-0.30911678,2.8105922,1,2,92.89701,768.48846,-1.0,81.3994,2.8081348,-0.31281626,52.0,38.0,1.0,32.0,0.04409885,0.039758056,24.012451,0.0052791815,0.00345919,-0.0024573803,0.00369948148727417,0.004441270215953006,True
52271,211,-3.0269659,2.6917365,2,2,65.65742,500.03183,-1.0,55.9943,2.6994739,-3.0224571,52.0,38.0,1.0,35.0,0.04613402,0.019942574,26.37228,0.0062139453,0.0029475822,0.007737398,0.0045087337493896484,0.008955222425826213,True
52272,-211,-1.1479789,-1.7038621,1,2,82.26967,232.82196,-1.0,59.169807,-1.7065364,-1.145431,51.0,37.0,1.0,38.0,0.028001484,0.029419614,35.1241,0.0111102685,0.002635657,-0.0026743412,0.0025478601455688477,0.003693736878566839,True
52272,211,1.9771347,1.6974334,2,2,82.26967,232.82196,-1.0,84.03991,1.6975209,1.9778367,49.0,29.0,1.0,31.0,0.025705166,0.025084043,21.698076,0.010390822,0.0035108922,8.749962e-05,0.0007020235061645508,0.0007074554307166724,True
52273,211,1.9438692,-1.8475189,2,2,18.5472,60.229683,-1.0,22.977547,-1.8435054,1.9489053,41.0,24.0,1.0,31.0,0.038728584,0.027028225,12.376235,0.012780214,0.0046738703,0.0040135384,0.005036115646362305,0.006439794309458555,True
52273,-211,-1.1350935,1.8455827,1,2,18.5472,60.229683,-1.0,20.021732,1.8552997,-1.1224138,43.0,25.0,1.0,31.0,0.021262271,0.028055437,16.105196,0.0070074773,0.0027712923,0.009716988,0.012679696083068848,0.015974809546900184,True
52280,-211,1.1169981,2.8083835,1,2,23.475405,193.82312,-1.0,35.236237,2.8193765,1.1249803,52.0,38.0,1.0,11.0,0.060407117,0.04663022,35.595226,0.00680801,0.003941621,0.010993004,0.007982254028320312,0.013585378610993862,True
52285,211,0.6511621,1.7190571,2,2,73.25233,212.28688,-1.0,78.84782,1.7179329,0.64990467,52.0,28.0,1.0,29.0,0.016226308,0.013238711,11.780878,0.0063476553,0.0030346736,-0.0011241436,0.0012574195861816406,0.0016866543194542431,True
52288,-211,-0.87624395,-1.8157848,1,2,48.59491,152.60904,-1.0,61.16583,-1.8153657,-0.87015617,43.0,29.0,1.0,29.0,0.02429207,0.028954504,16.911955,0.008541346,0.0036669227,0.00041913986,0.006087779998779297,0.006102191699504809,True
52293,211,0.47991472,-2.439735,2,2,33.162376,192.10866,-1.0,34.30211,-2.4303584,0.4800787,51.0,33.0,1.0,34.0,0.035835557,0.032959346,24.48991,0.0065518776,0.0027571814,0.009376526,0.0001639723777770996,0.009377959506122455,True
52298,-211,-2.6721551,-2.2623353,1,2,25.908472,125.95256,-1.0,20.110447,-2.284068,-2.6861446,45.0,31.0,1.0,29.0,0.038968712,0.031319655,34.26306,0.007998177,0.003590836,-0.021732807,0.013989448547363281,0.0258460749123458,True
52299,211,0.14390673,2.5879273,2,2,45.351845,301.0133,-1.0,53.154568,2.569875,0.14226873,46.0,27.0,1.0,33.0,0.037089806,0.030914422,17.004728,0.005943639,0.0024997457,-0.01805234,0.0016379952430725098,0.018126499872785258,True
52301,211,0.9653917,1.9534702,2,2,79.18906,289.297,-1.0,76.44847,1.954305,0.9694395,50.0,30.0,1.0,21.0,0.032524988,0.034940183,24.036964,0.009880777,0.0038433599,0.00083482265,0.004047811031341553,0.0041330016932104125,True
52301,-211,-2.1633332,-1.9857981,1,2,79.18906,289.297,-1.0,75.757515,-1.9843634,-2.1652517,44.0,27.0,1.0,9.0,0.032598767,0.026582973,23.072533,0.00951319,0.003061207,0.0014346838,0.0019185543060302734,0.002395656137660447,True
52306,-211,-1.3719794,-1.699944,1,2,59.63981,165.48315,-1.0,57.40746,-1.6998975,-1.3719263,38.0,24.0,1.0,7.0,0.014320615,0.015525221,12.829894,0.0058379783,0.0035880837,4.6491623e-05,5.3048133850097656e-05,7.053775944244402e-05,True
52308,-211,-0.55804217,2.3181713,1,2,27.954699,143.79015,-1.0,31.448454,2.3048697,-0.57095647,52.0,38.0,1.0,43.0,0.03303646,0.030044211,44.710915,0.0068629337,0.0029363662,-0.013301611,0.012914299964904785,0.018539471283828088,True
52308,211,2.558123,-2.3245535,2,2,27.954699,143.79015,-1.0,41.510647,-2.3283982,2.5521004,51.0,30.0,1.0,32.0,0.049853876,0.019851897,20.648888,0.009964452,0.0030845494,-0.003844738,0.00602269172668457,0.007145265967522312,True
52309,-211,1.906177,2.3424454,1,2,29.717945,157.06985,-1.0,28.385479,2.3318129,1.9107316,51.0,33.0,1.0,33.0,0.039211817,0.04500157,29.788542,0.00772996,0.004137521,-0.010632515,0.0045545101165771484,0.01156693285756077,True
52309,211,-1.2586733,-2.355674,2,2,29.717945,157.06985,-1.0,34.08816,-2.3545883,-1.2691548,49.0,33.0,1.0,38.0,0.03199812,0.039797477,29.329294,0.0063372888,0.0028946574,0.0010857582,0.010481476783752441,0.010537562643099614,True
52313,211,1.4735258,-1.9930133,2,2,16.926588,62.537846,-1.0,20.569733,-2.0009496,1.473584,42.0,28.0,1.0,31.0,0.030110197,0.037416648,18.486248,0.008495919,0.0036338626,-0.007936358,5.829334259033203e-05,0.007936572332719712,True
52313,-211,-1.608507,1.9698087,1,2,16.926588,62.537846,-1.0,19.170824,1.9797099,-1.616852,48.0,30.0,1.0,29.0,0.033815645,0.031635184,26.097607,0.009843703,0.0031799604,0.009901166,0.00834500789642334,0.012948831786818191,True
52321,211,-2.4066615,-1.7095838,2,2,23.56436,67.42102,-1.0,19.837996,-1.7041368,-2.4314122,51.0,37.0,1.0,38.0,0.026475172,0.031291895,30.576311,0.010705994,0.0011112891,0.005446911,0.024750709533691406,0.025342976543619895,True
52325,211,2.7385008,1.7014179,2,2,81.886024,229.55962,-1.0,69.49531,1.7005222,2.7395227,45.0,27.0,1.0,33.0,0.023689257,0.030836457,19.602573,0.009480175,0.0034552596,-0.0008957386,0.0010218620300292969,0.0013588780853937652,True
52325,-211,-0.3863599,-1.6798167,1,2,81.886024,229.55962,-1.0,74.51282,-1.6836606,-0.38396266,42.0,28.0,1.0,7.0,0.017109158,0.017318824,18.848719,0.0070053576,0.0035034853,-0.0038439035,0.0023972392082214355,0.004530160080810127,True
52327,211,-2.3213758,-2.2902327,2,2,38.214737,193.4055,-1.0,52.056393,-2.286993,-2.31745,46.0,32.0,1.0,3.0,0.03369212,0.024582217,24.06381,0.0073080123,0.0031546447,0.0032396317,0.003925800323486328,0.0050899038719720985,True
52327,-211,0.8391228,2.319643,1,2,38.214737,193.4055,-1.0,29.787899,2.3128803,0.8385405,48.0,30.0,1.0,29.0,0.03323783,0.026439521,23.27667,0.006879673,0.0034907982,-0.006762743,0.000582277774810791,0.006787764105160356,True
52330,-211,-0.5118817,1.7310333,1,2,6.7340627,19.454714,-1.0,11.733711,1.7268612,-0.5016787,42.0,11.0,1.0,29.0,0.020612698,0.022866033,18.70823,0.007841799,0.00299848,-0.0041720867,0.010203003883361816,0.011023048407999758,True
52330,211,2.4330814,-1.7173469,2,2,6.7340627,19.454714,-1.0,3.4656026,-1.7080014,2.4404879,52.0,19.0,1.0,17.0,0.03110735,0.033508167,29.427351,0.012181778,0.0035301293,0.009345531,0.007406473159790039,0.011924546229391075,True
52331,211,-3.0372155,-2.6449249,2,2,98.26394,716.7888,-1.0,120.53183,-2.6347106,-3.037703,52.0,38.0,1.0,13.0,0.03882142,0.029403085,27.302855,0.005516471,0.003230228,0.010214329,0.0004875659942626953,0.010225958668489722,True
52331,-211,0.10944772,2.7071514,1,2,98.26394,716.7888,-1.0,107.46462,2.7173357,0.10493443,51.0,35.0,1.0,32.0,0.056814235,0.031411912,25.720808,0.007061445,0.0023555853,0.010184288,0.004513286054134369,0.01113954544275117,True
52336,-211,-1.914527,-2.1929746,1,2,29.573248,136.40741,-1.0,29.659004,-2.1935701,-1.9067668,45.0,28.0,1.0,29.0,0.03772762,0.027030898,24.508448,0.008641277,0.0036166918,-0.0005955696,0.007760286331176758,0.0077831065200801375,True
52336,211,1.2001071,2.2273192,2,2,29.573248,136.40741,-1.0,32.70511,2.229634,1.2061214,43.0,23.0,1.0,11.0,0.022509098,0.021409411,14.7653885,0.0049169953,0.0030687891,0.002314806,0.006014347076416016,0.006444431506705142,True
52340,-211,2.9036639,-2.489336,1,2,8.748934,53.379093,-1.0,6.95808,-2.5030606,2.907498,45.0,22.0,1.0,9.0,0.04556694,0.030822696,16.869585,0.0074795783,0.004274329,-0.0137245655,0.0038340091705322266,0.014250029044675276,True
52340,211,-0.30604663,2.5007741,2,2,8.748934,53.379093,-1.0,13.802143,2.4843569,-0.32383838,50.0,24.0,1.0,11.0,0.04787277,0.044855922,21.497236,0.008277706,0.0029812143,-0.016417265,0.017791748046875,0.024208942256912395,True
52349,-211,2.8381517,2.89196,1,2,91.41112,825.2906,-1.0,101.228264,2.8925254,2.831688,52.0,38.0,1.0,11.0,0.032176696,0.02923812,26.611584,0.0035820962,0.0027507104,0.00056552887,0.006463766098022461,0.006488458605271999,True
52352,-211,1.9908328,-2.763211,1,2,37.57044,296.079,-1.0,34.7662,-2.7744684,1.9977226,47.0,25.0,5.0,29.0,0.027235238,0.018353904,24.025095,0.0033376778,0.0019671274,-0.01125741,0.006889820098876953,0.01319844323313296,True
52352,211,-1.1629201,2.7439094,2,2,37.57044,296.079,-1.0,39.609207,2.7331164,-1.1616601,46.0,32.0,1.0,9.0,0.042175308,0.0372948,23.160652,0.0057101273,0.003912094,-0.010792971,0.0012600421905517578,0.010866274370375717,True
52355,211,-1.4911538,2.946111,2,2,60.697666,582.3186,-1.0,34.544178,2.9453473,-1.4593666,52.0,32.0,1.0,34.0,0.02865906,0.03440246,26.119032,0.0030863532,0.0026031276,-0.0007636547,0.03178727626800537,0.031796447931378514,True
52355,-211,1.6566719,-2.956987,1,2,60.697666,582.3186,-1.0,40.513702,-2.9485695,1.6604244,52.0,38.0,1.0,31.0,0.036466777,0.023618812,39.85494,0.003971177,0.0031515565,0.008417368,0.003752470016479492,0.00921591629814676,True
