event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,deta,dphi,deltar,matches
52262,-211,-1.1207571,1.7243862,1,2,51.610737,149.6675,-1.0,47.50313,1.7205583,-1.1173202,42,14,3,29,0.022206737,0.020606112,19.495594,0.00896947,0.0037180178,-0.0038279295,0.0034369230270385742,0.005144461542914777,True
52269,211,-1.17276,2.0163755,2,2,79.64233,305.726,-1.0,51.929207,2.010625,-1.1731825,46,17,3,29,0.03150495,0.022916587,30.347107,0.009144294,0.0037924969,-0.005750656,0.00042247772216796875,0.005766154119291602,True
52270,211,2.8278236,-2.7942934,2,2,92.89701,768.48846,-1.0,73.75053,-2.7914593,2.83186,50,26,1,29,0.04169315,0.014394805,18.548187,0.004893742,0.003374939,0.0028340816,0.004036426544189453,0.0049320135834580855,True
52270,-211,-0.30911678,2.8105922,1,2,92.89701,768.48846,-1.0,68.013725,2.8097384,-0.31428573,42,28,1,32,0.038104188,0.038994785,17.913994,0.0045973817,0.0037756816,-0.00085377693,0.005168944597244263,0.005238981131726929,True
52271,211,-3.0269659,2.6917365,2,2,65.65742,500.03183,-1.0,46.041195,2.6997821,-3.0222938,49,17,1,35,0.04560644,0.019930206,25.53504,0.0059383423,0.0033531622,0.008045673,0.004672050476074219,0.009303812070551075,True
52272,-211,-1.1479789,-1.7038621,1,2,82.26967,232.82196,-1.0,46.28299,-1.7066286,-1.1453786,49,13,1,38,0.02170962,0.02044729,32.651054,0.008570005,0.0022896824,-0.00276649,0.0026003122329711914,0.003796721051902042,True
52272,211,1.9771347,1.6974334,2,2,82.26967,232.82196,-1.0,73.34346,1.6981947,1.9786524,43,22,1,31,0.022108695,0.023747237,19.38462,0.008851279,0.0038560869,0.00076138973,0.001517653465270996,0.0016979359089738103,True
52273,211,1.9438692,-1.8475189,2,2,18.5472,60.229683,-1.0,18.27817,-1.8467181,1.9489385,39,7,3,31,0.037692122,0.027750207,11.603132,0.0124865025,0.0046480647,0.000800848,0.005069255828857422,0.005132125504023123,True
52273,-211,-1.1350935,1.8455827,1,2,18.5472,60.229683,-1.0,14.68175,1.8481965,-1.1321372,35,8,3,31,0.011750509,0.012888618,11.564423,0.00397244,0.0030494398,0.0026137829,0.0029562711715698242,0.0039460613452982326,True
52280,-211,1.1169981,2.8083835,1,2,23.475405,193.82312,-1.0,23.717129,2.8221188,1.1003033,47,15,1,7,0.04918416,0.029096935,16.381124,0.0057378816,0.004396139,0.013735294,0.01669478416442871,0.02161883723226163,True
52285,211,0.6511621,1.7190571,2,2,73.25233,212.28688,-1.0,71.14559,1.7189844,0.6501837,34,15,9,29,0.013965331,0.011908157,10.344673,0.0055423,0.003447202,-7.271767e-05,0.0009784102439880371,0.0009811087934476262,True
52288,-211,-0.87624395,-1.8157848,1,2,48.59491,152.60904,-1.0,51.16372,-1.814779,-0.87245405,42,7,1,29,0.017870294,0.017672319,14.370322,0.006305669,0.00408349,0.0010057688,0.0037899017333984375,0.003921087344763102,True
52293,211,0.47991472,-2.439735,2,2,33.162376,192.10866,-1.0,26.051905,-2.4336667,0.48322824,41,10,1,34,0.029979756,0.025217565,19.355558,0.0054369876,0.0027343123,0.0060682297,0.003313511610031128,0.006913954705696486,True
52298,-211,-2.6721551,-2.2623353,1,2,25.908472,125.95256,-1.0,11.910828,-2.2681062,-2.683615,41,15,3,29,0.02883056,0.025786193,23.00454,0.0061754584,0.0036522914,-0.0057709217,0.011459827423095703,0.01283086837375508,True
52299,211,0.14390673,2.5879273,2,2,45.351845,301.0133,-1.0,48.55185,2.5809412,0.13727252,40,8,1,33,0.034510516,0.032572377,17.290127,0.0054145143,0.0032917704,-0.006986141,0.00663420557975769,0.009634254210886437,True
52301,211,0.9653917,1.9534702,2,2,79.18906,289.297,-1.0,61.208733,1.9548795,0.9705364,43,24,1,21,0.02870511,0.030968169,22.781702,0.008716779,0.00380089,0.0014092922,0.005144715309143066,0.00533424784947739,True
52301,-211,-2.1633332,-1.9857981,1,2,79.18906,289.297,-1.0,66.38727,-1.9847718,-2.1664295,41,23,1,9,0.03076124,0.02287686,21.240677,0.008971365,0.0034978266,0.0010262728,0.003096342086791992,0.003261988674160905,True
52306,-211,-1.3719794,-1.699944,1,2,59.63981,165.48315,-1.0,51.27959,-1.6994969,-1.3729844,37,19,1,7,0.012720572,0.011761108,9.557161,0.005188358,0.003863989,0.00044715405,0.0010050535202026367,0.0011000360532843726,True
52308,-211,-0.55804217,2.3181713,1,2,27.954699,143.79015,-1.0,23.031988,2.3109741,-0.5671975,52,6,1,43,0.024352252,0.022351386,40.127438,0.004962613,0.002879476,-0.0071971416,0.009155333042144775,0.01164555586489333,True
52308,211,2.558123,-2.3245535,2,2,27.954699,143.79015,-1.0,33.86259,-2.3291597,2.5544884,41,21,1,32,0.040099025,0.028489625,17.85505,0.007911234,0.0027850505,-0.004606247,0.0036346912384033203,0.005867579683882983,True
52309,211,-1.2586733,-2.355674,2,2,29.717945,157.06985,-1.0,23.989979,-2.3602638,-1.2626119,49,13,1,38,0.021676293,0.028886827,27.199238,0.0042213257,0.0026486777,-0.004589796,0.003938555717468262,0.006048011950888398,True
52309,-211,1.906177,2.3424454,1,2,29.717945,157.06985,-1.0,18.003746,2.3310912,1.9002291,44,9,1,33,0.031735804,0.0305077,28.782404,0.005944731,0.0029335066,-0.011354208,0.0059479475021362305,0.012817804642020866,True
52313,211,1.4735258,-1.9930133,2,2,16.926588,62.537846,-1.0,14.264012,-1.9959191,1.4669613,36,8,1,31,0.020393506,0.021902364,18.035196,0.005771423,0.0034600098,-0.0029058456,0.006564497947692871,0.007178897700964713,True
